ALC
ARB
ARX
ASCA
ASI
ASTX
BBNK
BKI
BKR
BZ
CEC
CHMG
CIX
CLP
CLWR
CNBKA
CNOB
CRFN
CXPO
DOLE
EDG
EOPN
FFCH
FIRE
FMFC
FSCI
GBLI
GDI
GRIF
GWAY
HFWA
HIFS
HPP
HTLF
IN
KDN
KEYN
LEDR
LSE
LUFK
LVB
MBVT
MFB
MPG
MPR
MTSI
NAFC
NAVR
NFP
NTSC
NTSP
OMTH
OMX
OPTR
PBNY
PHIIK
PSB
RUE
SKS
STAN
THR
TMS
TRLG
TSRX
VHS
VLTR
WCRX
WMS
WPO
ENTA
RMBS
ANV
EAC
FORM
EVTC
NAVB
DIOD
CDE
OSIS
CECO
GSVC
RGLD
SYUT
WPX
ULTA
NOG
CAH
GRPN
HAWK
ABBV
DDD
SD
FWM
AAP
INCY
CPA
CRZO
LMIA
JCP
AZO
MDW
AMRI
ARIA
TRN
XEC
GORO
RAIL
DORM
PTX
WAC
POZN
CKP
TAHO
Q
P
FANG
NEM
PVH
AKS
FB
CMRX
LRN
PKI
FCEL
GDP
MWW
PKG
WSTC
SPWR
POWR
PFPT
CMTL
MPO
CRK
WG
GTAT
GEVA
SCTY
DXPE
SYRG
AGX
PMC
MODN
FNF
SSYS
LDR
DLR
SIMG
FLWS
AREX
IVR
YHOO
GTLS
OAS
MITT
WWAV
IACI
STRL
ITG
AMD
PACR
WEN
TASR
ARR
BRCM
PENN
BPI
VASC
CYS
ETFC
HL
PHMD
NGVC
CNX
CHK
RH
NVDA
PLXT
APOL
TSLA
TWGP
MPC
NFLX
JMI
NPTN
LOV
GMCR
GFF
RNWK
CST
OSTK
SYNA
EXXI
YELP
AGNC
WMC
THRX
XONE
ZIXI
KOG
MHO
HTS
RPRX
CNO
NLY
MINI
HLS
OUTR
ANIK
SGY
CXO
PXD
OSIR
AMTG
OWW
USCR
KERX
PIR
NTRI
CHTR
OMEX
KEYW
URI
BCOV
VCLK
IGTE
TWMC
RTIX
NILE
EGN
ACLS
LEN
JLL
SZYM
MTGE
VSH
IL
ENOC
SWY
KBH
JAZZ
UTHR
SEE
NRZ
MAN
TPH
INSM
HY
SN
SFLY
GTIV
ACFN
EXTR
NASB
KND
AMCC
GS
NPSP
BIOS
LPI
TWX
NYMT
DV
SBGI
RNDY
BGCP
GVA
SM
PX
WHR
HAR
SWSH
GCI
FRP
UBNT
NNBR
GPT
KRO
UVE
GLW
ESRX
MS
OCR
ZGNX
ATRO
CIM
ALR
FBHS
AKAM
OC
DLPH
WHF
HUN
CSH
DE
ADS
TQNT
DGI
CPLA
DOW
SEM
EOG
GBX
AVT
AVID
OVTI
WLL
BBG
LNKD
DFT
AI
GCO
CLH
LPS
VTR
UPL
BID
SCCO
SUNE
AOI
MOSY
BCEI
KCLI
ESI
IMGN
MITK
ONE
RCPT
HBAN
SWC
LM
DWA
NTAP
MGM
JOY
PES
UIS
NBL
FF
LNDC
IPGP
CAR
HSIC
CONN
PNR
HCKT
PCLN
ADUS
TWO
FLR
EXLS
EGL
MRC
ECOL
JW/A
ARAY
CTCT
EOX
AMCX
PEB
CLF
CORT
LAMR
CMI
KORS
DNR
KMG
RGC
GTN
CNBC
PETS
RLD
CLR
PBI
VRSN
ANGI
X
DLLR
CDNS
ATSG
STJ
AMZN
JAH
MRTN
MILL
VICL
DRIV
ORLY
BPOP
GPOR
WDC
