Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TENZ/GSPTSE,,,N/A
$DXY,80.1770,,N/A
$DJI,15875.260,,N/A
JYN,56.600,,N/A
GSPC,,,N/A
$GSPTSE,,,N/A
IXIC,,,N/A
DJIA,,,N/A
CLF4,,,N/A
AMC,18.000,,N/A
COMP,4023.680,,N/A
SYNM,3.520,+43.09%,Downtrend
VCI,34.280,+21.13%,Range Bound
OMER,9.790,+9.75%,Uptrend
NRZ,6.800,+5.43%,Range Bound
NX,18.350,+5.34%,Range Bound
BCRX,6.810,+5.09%,Uptrend
RGDX,1.200,+3.45%,N/A
NICK,15.750,+3.08%,N/A
NOK,7.580,+2.99%,Range Bound
ADEP,13.420,+2.84%,Uptrend
LEN,36.150,+2.70%,Range Bound
BLRX,2.810,+2.55%,N/A
RRTS,25.430,+1.88%,Range Bound
DEPO,8.500,+1.80%,Range Bound
GRPN,10.830,+1.50%,Uptrend
KRFT,53.180,+1.42%,Range Bound
KTOS,6.960,+0.87%,Range Bound
UNG,21.090,+0.81%,Uptrend
PHG,35.260,+0.80%,Range Bound
RDS/A,67.870,+0.64%,Range Bound
BP,45.760,+0.53%,Range Bound
CGNX,34.400,+0.47%,Range Bound
SI,131.150,+0.42%,Range Bound
REGN,262.880,+0.38%,Downtrend
REGI,10.600,+0.38%,Range Bound
JPM,55.890,+0.31%,Range Bound
CVS,67.010,+0.30%,Range Bound
PSEC,11.210,+0.27%,Range Bound
BA,136.230,+0.26%,Range Bound
ROSE,48.550,+0.25%,Range Bound
CVX,119.000,+0.22%,Range Bound
USO,34.940,+0.20%,Range Bound
GE,27.080,+0.18%,Range Bound
BX,29.850,+0.13%,Range Bound
/DX[H4],80.3200,+0.13%,N/A
MRK,47.940,+0.08%,Range Bound
XOM,96.800,+0.05%,Range Bound
UUP,21.550,+0.05%,Range Bound
SPB,67.730,0.00%,Range Bound
SPX,1781.000,0.00%,Range Bound
ROK,110.530,0.00%,Range Bound
SRLP,17.080,0.00%,N/A
IEI,121.110,0.00%,Range Bound
HAR,83.040,0.00%,Range Bound
WPX,19.860,0.00%,Range Bound
IEF,100.930,0.00%,Range Bound
TUZ,50.880,0.00%,N/A
EE,34.680,0.00%,Range Bound
NDAQ,39.310,0.00%,Range Bound
GD,91.440,0.00%,Range Bound
FWLT,31.840,0.00%,Range Bound
EUO,17.060,0.00%,Range Bound
AEGN,21.958,0.00%,Range Bound
MUR,63.110,0.00%,Range Bound
TRP,44.030,0.00%,Range Bound
LII,81.310,0.00%,Range Bound
IRBT,36.710,0.00%,Uptrend
UDNT,17.450,0.00%,N/A
XLRN,27.620,0.00%,N/A
URI,74.100,0.00%,Range Bound
EMR,66.460,0.00%,Range Bound
MTW,21.670,0.00%,Range Bound
UTX,107.620,0.00%,Range Bound
SCHR,52.580,0.00%,N/A
PSX,72.600,0.00%,Range Bound
HES,79.510,0.00%,Range Bound
SPPI,8.255,0.00%,Downtrend
LMT,140.850,0.00%,Range Bound
REXR,13.100,0.00%,Range Bound
SNE,17.250,0.00%,Range Bound
SU,33.500,0.00%,Range Bound
STLD,18.940,0.00%,Range Bound
EPV,16.960,0.00%,Range Bound
WHR,151.530,0.00%,Range Bound
FIVZ,79.004,0.00%,N/A
VGIT,63.510,0.00%,N/A
UUPT,19.170,0.00%,N/A
MPC,86.090,0.00%,Range Bound
RY,64.810,0.00%,Range Bound
EQM,52.890,0.00%,Range Bound
VGSH,60.960,0.00%,N/A
NLS,7.800,0.00%,Range Bound
SHY,84.480,-0.01%,Range Bound
FDX,139.000,-0.06%,Range Bound
UDN,27.060,-0.07%,Range Bound
FXE,135.910,-0.12%,Range Bound
/ZN[H4],124'090,-0.21%,N/A
/ZB[H4],129'14,-0.31%,N/A
GSK,50.640,-0.80%,Range Bound
JCI,50.900,-0.82%,Range Bound
AAPL,548.790,-1.12%,Range Bound
GIS,48.600,-1.98%,Range Bound
ALB,67.000,-2.57%,Range Bound
PAY,24.090,-3.64%,Range Bound
GOGO,28.800,-6.30%,Uptrend
WPCS,2.800,-10.54%,N/A
TWGP,3.430,-12.72%,Range Bound
JBL,16.340,-17.14%,Range Bound
