Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TENZ/GSPTSE,,,N/A
$DXY,80.5540,,N/A
DAX,0,,N/A
$DJI,16239.320,,N/A
ARMN,,,N/A
JYN,56.340,,N/A
GSPC,,,N/A
$GSPTSE,,,N/A
PRO/V,,,N/A
IXIC,,,N/A
DJIA,,,N/A
FTSE,,,N/A
MID,1318.850,,N/A
COMP,4104.741,,N/A
ZAO/V,,,N/A
DXE/V,,,N/A
ORMP,10.750,+50.35%,N/A
TSEM,6.490,+44.54%,N/A
MKTG,27.395,+40.34%,Uptrend
AMRN,1.9950,+25.47%,Range Bound
BBRY,7.220,+15.52%,Uptrend
LMNR,27.060,+15.20%,Uptrend
RHT,56.100,+14.49%,Uptrend
SHLO,23.270,+12.74%,N/A
TRAK,48.190,+12.59%,Uptrend
AMBA,27.940,+11.45%,Uptrend
APRI,2.1000,+11.11%,Range Bound
MHR,7.260,+8.20%,Range Bound
JAZZ,123.910,+8.01%,Range Bound
CCIX,26.400,+7.89%,Range Bound
OSIR,16.750,+7.72%,Range Bound
ARRS,23.480,+7.61%,Uptrend
IRDM,6.310,+6.95%,Range Bound
ZUMZ,26.370,+6.67%,Downtrend
WMC,16.980,+6.66%,Range Bound
FINL,27.770,+6.24%,Range Bound
RRGB,75.410,+5.47%,Range Bound
JNY,14.870,+5.24%,Range Bound
USAT,1.7600,+4.76%,N/A
GWPH,34.240,+4.71%,N/A
PFS,19.430,+4.41%,Range Bound
TWTR,59.690,+3.83%,Uptrend
APOG,37.380,+3.72%,Range Bound
LXK,34.990,+3.70%,Range Bound
WAG,59.040,+3.69%,Range Bound
ADVS,35.500,+3.62%,Range Bound
CUK,39.480,+3.54%,Range Bound
MEOH,58.370,+3.40%,Range Bound
TLR,.1800,+3.39%,N/A
URI,77.350,+3.31%,Uptrend
FTNT,18.430,+3.08%,Range Bound
REGN,278.690,+3.01%,Range Bound
WIT,12.490,+2.88%,Range Bound
GENT,57.220,+2.82%,N/A
NPBC,11.300,+2.73%,Range Bound
ELGX,16.620,+2.72%,Range Bound
IBB,223.700,+2.62%,Range Bound
GPOR,60.340,+2.44%,Range Bound
FAS,87.550,+2.42%,Range Bound
RDA,17.950,+2.34%,Range Bound
NWSA,17.750,+2.25%,Range Bound
CELG,167.650,+2.21%,Range Bound
BIIB,283.340,+2.21%,Range Bound
CCL,38.850,+2.10%,Range Bound
BAX,68.390,+1.98%,Range Bound
FNFG,10.420,+1.96%,Range Bound
IWM,114.150,+1.88%,Range Bound
RUT,1146.469,+1.87%,Range Bound
AUXL,20.590,+1.73%,Range Bound
GILD,74.660,+1.68%,Range Bound
FFBC,17.220,+1.59%,Range Bound
HIW,36.360,+1.54%,Range Bound
FCX,35.730,+1.53%,Range Bound
IGV,80.620,+1.40%,Range Bound
EXPD,43.550,+1.37%,Range Bound
BA,136.960,+1.32%,Range Bound
FSC,9.250,+1.31%,Range Bound
GOOG,1100.400,+1.31%,Range Bound
NDAQ,39.960,+1.27%,Range Bound
AMGN,114.000,+1.24%,Range Bound
MANT,29.050,+1.22%,Range Bound
ATRS,4.240,+1.19%,Uptrend
XON,20.360,+1.19%,Range Bound
PCRFY,11.66200,+1.14%,N/A
IYW,86.710,+1.07%,Range Bound
NOK,7.810,+1.03%,Range Bound
IGM,88.090,+1.02%,N/A
NKY,18.170,+1.00%,Range Bound
GLD,115.940,+0.98%,Range Bound
PMR,34.509,+0.97%,N/A
IYJ,99.870,+0.91%,Range Bound
SOXX,71.110,+0.89%,Range Bound
QQQ,86.640,+0.86%,Range Bound
XRX,11.880,+0.85%,Range Bound
SLV,18.640,+0.81%,Range Bound
XRT,87.140,+0.80%,Range Bound
IYH,115.730,+0.77%,Range Bound
AVD,23.700,+0.72%,Downtrend
RTH,60.970,+0.69%,Range Bound
EXI,69.660,+0.68%,N/A
EEM,40.810,+0.67%,Range Bound
IVV,183.740,+0.65%,Range Bound
TGT,62.500,+0.56%,Range Bound
MWE,63.420,+0.54%,Range Bound
KPTI,24.080,+0.50%,N/A
RBA,22.390,+0.49%,Uptrend
SPX,1818.320,+0.48%,Range Bound
USO,35.480,+0.45%,Range Bound
BMO,65.720,+0.43%,Range Bound
GG,20.920,+0.38%,Range Bound
XSD,59.400,+0.37%,Range Bound
UUPT,19.570,+0.36%,N/A
CM,85.000,+0.35%,Range Bound
SALE,28.730,+0.35%,Range Bound
IYK,94.930,+0.33%,N/A
IEF,100.440,+0.31%,Range Bound
IYE,49.690,+0.30%,Range Bound
MVC,13.400,+0.30%,Range Bound
XLI,51.260,+0.29%,Range Bound
EPB,34.250,+0.29%,Downtrend
XLK,34.960,+0.29%,Range Bound
MMM,136.770,+0.26%,Range Bound
VXX,44.440,+0.25%,Range Bound
AEM,25.190,+0.24%,Range Bound
SPY,181.830,+0.19%,Range Bound
UDN,26.920,+0.19%,Range Bound
XLF,21.620,+0.19%,Range Bound
UNG,21.790,+0.18%,Uptrend
FXE,135.240,+0.16%,Range Bound
FWLT,31.930,+0.16%,Uptrend
WYNN,185.350,+0.13%,Uptrend
LLY,50.200,+0.12%,Range Bound
XLV,54.910,+0.09%,Range Bound
/ZN[H4],123'240,+0.01%,N/A
SCHR,52.319,+0.01%,N/A
PPP,4.390,0.00%,Downtrend
/DX[H4],80.7450,-0.01%,N/A
TUZ,50.850,-0.02%,N/A
/ZB[H4],130'02,-0.02%,N/A
WAB,73.780,-0.03%,Range Bound
VGIT,63.230,-0.03%,N/A
SHY,84.410,-0.04%,Range Bound
VGSH,60.900,-0.05%,N/A
VOD,38.320,-0.05%,Range Bound
ALXN,130.640,-0.08%,Range Bound
VIS,98.210,-0.09%,Range Bound
UUP,21.660,-0.09%,Range Bound
IEI,120.450,-0.10%,Range Bound
FIVZ,78.750,-0.23%,N/A
RY,66.000,-0.24%,Range Bound
XLE,86.670,-0.29%,Range Bound
XLP,42.550,-0.30%,Range Bound
T,34.340,-0.32%,Range Bound
ERF,18.220,-0.33%,Range Bound
EUO,17.250,-0.35%,Range Bound
VHT,99.990,-0.44%,Range Bound
ORCL,36.430,-0.46%,Range Bound
CNDO,2.0900,-0.48%,Uptrend
VZ,48.150,-0.58%,Range Bound
EPV,16.230,-0.67%,Range Bound
IPK,31.355,-0.68%,N/A
BPY,20.000,-0.70%,Range Bound
BCRX,6.910,-0.72%,Uptrend
JGW,17.000,-0.87%,N/A
SSRI,6.570,-1.05%,Uptrend
BPO,19.130,-1.09%,Range Bound
NKE,77.340,-1.18%,Range Bound
UDNT,17.110,-1.38%,N/A
VDC,109.030,-1.64%,Range Bound
SCTY,55.760,-2.00%,Uptrend
SYMC,22.510,-2.09%,Range Bound
FAZ,22.250,-2.28%,Range Bound
JKS,28.590,-2.62%,Downtrend
ALU,4.400,-3.08%,Range Bound
BTU,18.250,-4.60%,Range Bound
FAST,45.620,-4.98%,Range Bound
NAV,37.450,-5.09%,Range Bound
NAVB,2.0500,-5.53%,Uptrend
SWFT,22.070,-6.32%,Range Bound
KMX,48.150,-9.24%,Range Bound
ZA,1.7400,-9.38%,N/A
IDCC,28.790,-10.03%,Downtrend
TIBX,21.950,-10.33%,Range Bound
