Post-market Movers

Post-market Movers
Symbol,Mark,Mark %Change,Strength Meter
$DJI,16170.920,,N/A
$GSPTSE,,,N/A
COMP,4070.064,,N/A
IXIC,,,N/A
DJIA,,,N/A
ALIM,4.500,+77.17%,Uptrend
PSDV,4.510,+51.85%,Uptrend
SYNM,3.340,+35.77%,Range Bound
VCI,34.600,+22.26%,Uptrend
ARIA,5.010,+20.43%,Range Bound
DEPO,9.820,+17.60%,Uptrend
AKS,6.680,+8.27%,Uptrend
SCS,16.310,+7.16%,Range Bound
XOMA,5.810,+6.61%,Uptrend
GRPN,11.270,+5.62%,Uptrend
REGI,11.100,+5.11%,Range Bound
ARWR,9.140,+4.46%,Uptrend
ORCL,34.780,+3.42%,Range Bound
APOG,35.400,+3.15%,Range Bound
PEGA,49.380,+2.98%,Range Bound
PII,139.910,+2.95%,Range Bound
NLS,8.010,+2.69%,Range Bound
PAYX,44.050,+2.68%,Range Bound
FBC,17.980,+2.39%,Range Bound
LAD,70.020,+2.17%,Range Bound
INTC,25.150,+2.01%,Range Bound
AZO,470.560,+1.91%,Range Bound
ROSE,49.270,+1.73%,Range Bound
SPX,1810.650,+1.66%,Range Bound
GILT,4.400,+1.62%,Range Bound
VOYA,35.890,+1.33%,Range Bound
STAY,24.760,+0.98%,Range Bound
JOY,54.010,+0.92%,Range Bound
CSC,53.450,+0.83%,Range Bound
MLHR,28.990,+0.03%,Range Bound
AAPL,550.560,-0.80%,Range Bound
GSB,2.350,-1.26%,N/A
HYGS,18.600,-1.69%,N/A
BIOD,2.200,-4.76%,Range Bound
PAY,23.200,-7.20%,Range Bound
GIG,1.490,-9.15%,N/A
OPXA,1.6800,-10.64%,N/A
VIX,13.800,-14.87%,Range Bound
SMTC,23.070,-19.22%,Range Bound
JBL,15.690,-20.44%,Downtrend
CVM,.520,-30.67%,N/A
WPCS,1.6390,-47.64%,N/A
