Watchlist 'Stocks I Want'

Stocks I Want
Symbol,Last,Net Chng,Strength Meter,High,Low
AAPL,519.80,-1.336,N/A,522.16,518.53
ACC,33.10,+.01,N/A,33.14,32.71
ACN,77.84,-.59,N/A,78.53,77.65
AMZN,372.31,+3.39,N/A,374.50,366.31
BTU,18.45,-.19,N/A,18.64,18.22
CAT,82.88,+.76,N/A,82.95,82.00
CERN,57.96,+.27,N/A,58.03,57.5194
CMG,537.48,-1.74,N/A,544.00,536.48
CMI,130.37,+1.11,N/A,130.40,128.70
CREE,55.63,+.13,N/A,56.04,54.95
CRM,54.69,+.25,N/A,55.09,54.50
CTRX,45.31,-.58,N/A,46.43,45.04
CVX,124.03,+.57,N/A,124.19,122.4201
D,66.62,-.12,N/A,66.91,66.43
DD,61.70,+.10,N/A,61.72,61.28
DUK,71.13,+.38,N/A,71.56,70.21
ECA,19.18,-.34,N/A,19.57,19.14
ED,55.92,-.32,N/A,56.40,55.89
EOG,170.15,+.84,N/A,170.41,167.35
ESRX,66.39,+.505,N/A,66.45,65.57
ETN,73.00,+.46,N/A,73.195,72.05
EXC,27.35,-.30,N/A,27.74,27.33
GLD,119.92,-.02,N/A,120.40,119.82
GOOG,1031.89,-2.18,N/A,1036.17,1029.2225
HCN,57.76,-.97,N/A,58.80,57.56
IRM,28.40,-.17,N/A,28.59,28.205
JCP,8.87,-.30,N/A,9.13,8.82
JWN,62.10,-.04,N/A,62.2499,61.81
K,62.47,+.73,N/A,62.51,61.55
KFT,42.52,0,N/A,0,0
KSS,55.15,+.35,N/A,55.29,54.68
KMP,81.65,-.20,N/A,82.09,81.50
HRB,28.71,-.19,N/A,28.94,28.64
MA,754.45,+7.45,N/A,755.87,746.52
MCD,98.27,+.57,N/A,98.51,97.37
MO,37.27,+.13,N/A,37.28,36.81
MON,113.86,+1.95,N/A,114.08,111.502
MRO,37.61,-.32,N/A,38.09,37.42
MSFT,37.57,+.17,N/A,37.68,37.33
NFLX,347.85,-.65,N/A,350.60,344.00
NSC,87.12,+.30,N/A,87.20,86.41
OKS,53.52,+.47,N/A,55.10,53.01
PAYX,43.50,-.13,N/A,43.93,43.33
PBPB,27.96,+.16,N/A,28.3099,27.79
PG,84.95,+.28,N/A,85.00,84.23
PKI,38.00,-.25,N/A,38.29,37.925
PM,86.95,+.35,N/A,87.29,86.28
POT,31.27,+.02,N/A,31.33,31.03
QSII,22.65,+.12,N/A,22.79,22.39
THI,59.71,+.64,N/A,59.79,59.07
TM,126.31,+.70,N/A,126.76,125.441
SO,41.23,-.14,N/A,41.51,41.21
RGC,19.62,+.10,N/A,19.69,19.45
SNE,18.30,-.35,N/A,18.65,18.27
TGT,63.70,-.49,N/A,64.09,63.32
TJX,63.06,-.93,N/A,63.43,62.67
V,202.12,+.51,N/A,202.34,199.84
VZ,50.22,-.16,N/A,50.40,50.01
YUM,78.30,+3.38,N/A,78.68,75.79
FB,46.23,-.47,N/A,47.27,45.96
LNKD,220.25,-.36,N/A,222.00,216.00
MDRX,14.59,-.119,N/A,14.80,14.50
NKE,78.87,+.78,N/A,78.98,77.98
GS,168.10,+1.03,N/A,168.24,165.53
INTU,72.03,-1.13,N/A,73.16,70.87
KMB,109.00,+1.08,N/A,109.29,107.74
HAL,54.50,+.30,N/A,54.54,53.88
P,29.23,-.45,N/A,31.48,28.5401
CLX,93.70,-.21,N/A,94.05,93.37
DNKN,47.99,+.44,N/A,48.26,47.37
TCS,37.36,+2.17,N/A,37.598,35.27
NDLS,39.46,-.08,N/A,40.4099,39.31
DDD,73.30,+1.11,N/A,76.50,72.5175
WSM,58.76,-.98,N/A,59.93,58.76
ATHN,128.29,-1.51,N/A,131.27,127.86
WOOF,30.36,+.12,N/A,30.48,30.1501
IDXX,105.49,-2.02,N/A,108.429,105.47
