Watchlist 'Gap Up'

Gap Up
Symbol,Last,%Change,Strength Meter,52High,52Low
ATRM,6.19,+105.65%,N/A,10.45,.34
PVG,5.32,+81.57%,N/A,14.46,2.70
ARIA,3.78,+35.48%,N/A,24.59,2.15
PTIX,3.62,+23.55%,N/A,4.2299,.74
SPLK,73.56,+22.80%,N/A,74.76,26.91
GST,5.59,+18.94%,N/A,5.60,.72
PEIX,3.30,+16.61%,N/A,7.035,2.33
POZN,7.79,+14.56%,N/A,7.90,4.26
IMMU,4.45,+14.10%,N/A,7.35,2.11
WD,16.08,+13.16%,N/A,21.76,12.50
BIIB,285.616,+13.15%,N/A,289.97,139.72
TWC,132.92,+9.98%,N/A,133.73,84.57
PACB,3.93,+9.78%,N/A,6.50,1.34
CLDX,28.31,+8.51%,N/A,38.84,5.38
ISIS,36.18,+8.23%,N/A,39.83,8.69
LXFT,37.70,+8.15%,N/A,38.83,18.55
EDN,6.87,+7.68%,N/A,7.10,1.65
FNP,33.59,+7.38%,N/A,34.41,11.7115
JNY,13.89,+6.76%,N/A,17.78,10.42
URRE,3.41,+6.56%,N/A,5.985,1.75
ARUN,18.26,+6.16%,N/A,26.78,12.38
USU,9.46,+5.94%,N/A,29.12,2.60
CVC,15.80,+5.90%,N/A,20.16,13.53
MERU,3.34,+5.70%,N/A,6.96,2.11
FIG,7.99,+5.69%,N/A,9.10,4.10
MRVL,14.58,+5.42%,N/A,14.64,6.98
PAY,25.50,+4.94%,N/A,36.13,15.34
CY,9.71,+4.86%,N/A,13.23,8.61
ENTA,23.40,+4.56%,N/A,26.39,14.31
YUM,78.30,+4.51%,N/A,78.68,59.68
NNBR,19.05,+4.50%,N/A,19.3196,7.65
SBGL,5.2400,+4.38%,N/A,8.3060,2.6200
FL,38.27,+4.11%,N/A,39.15,31.07
NEXJF,1.8363,+4.10%,N/A,4.3040,1.7640
SSRI,5.89,+3.88%,N/A,15.53,5.18
SREV,9.7000,+3.85%,N/A,13.6850,4.5100
TRBAA,71.5000,+3.77%,N/A,72.7500,48.3750
SGMO,11.29,+3.77%,N/A,13.20,5.19
GILD,74.27,+3.69%,N/A,75.21,35.68
ALNY,58.33,+3.65%,N/A,66.17,15.56
AR,55.40,+3.57%,N/A,57.80,51.56
OIBR,1.57,+3.29%,N/A,4.51,1.42
GLPI,46.12,+3.27%,N/A,53.50,40.25
REXX,20.15,+3.12%,N/A,25.169,11.74
CELG,163.33,+2.97%,N/A,164.00,76.981
QIWI,47.60,+2.73%,N/A,50.65,14.505
PT,4.20,+2.69%,N/A,5.91,3.47
ARMH,48.82,+2.52%,N/A,52.38,34.75
LPL,11.17,+2.48%,N/A,16.80,10.46
CIG,8.37,+2.45%,N/A,11.732,7.81
NVAX,3.47,+2.36%,N/A,3.63,1.67
LBTYK,77.35,+2.36%,N/A,78.53,52.66
BA,135.97,+2.29%,N/A,142.00,72.68
TKC,15.26,+2.28%,N/A,17.80,12.762
ARNA,5.85,+2.27%,N/A,11.00,4.05
FIATY,8.1500,+2.26%,N/A,8.7900,4.3700
NEEpP,51.75,+2.21%,N/A,52.24,47.49
GFA,2.80,+2.19%,N/A,5.24,2.22
CGNX,32.23,+2.19%,N/A,35.00,17.11
LFC,48.50,+2.17%,N/A,52.72,33.88
IRE,14.42,+2.12%,N/A,14.94,5.29
CYCC,4.34,+2.12%,N/A,8.18,2.75
BEN,55.65,+2.07%,N/A,56.54,41.3367
BAK,18.39,+2.05%,N/A,18.58,12.37
BBVA,11.52,+2.04%,N/A,12.898,8.03
ASML,91.72,+2.00%,N/A,101.85,60.895
DAL,28.60,+2.00%,N/A,28.90,9.50
BCDRF,8.77000,+1.98%,N/A,9.29000,6.33000
PCRX,54.63,+1.96%,N/A,56.94,15.19
YZC,11.26,+1.90%,N/A,18.57,6.68
MPC,80.25,+1.87%,N/A,92.73,57.51
AZN,55.98,+1.86%,N/A,56.00,44.46
ABB,25.48,+1.84%,N/A,26.00,18.70
KT,15.61,+1.83%,N/A,18.31,14.71
RYAAY,44.71,+1.78%,N/A,54.74,33.96
QCOM,72.96,+1.74%,N/A,73.09,59.02
SAN,8.77,+1.74%,N/A,9.32,6.3059
DB,46.27,+1.69%,N/A,53.12,38.18
ALV,92.06,+1.62%,N/A,94.48,58.51
RDY,39.34,+1.60%,N/A,41.03,31.32
VRNG,3.19,+1.59%,N/A,3.94,2.61
ORAN,12.86,+1.58%,N/A,14.68,9.10
VLOWY,11.0700,+1.56%,N/A,13.7400,8.6200
SI,131.59,+1.48%,N/A,131.7955,98.69
CS,28.98,+1.47%,N/A,33.98,22.0912
BP,48.03,+1.44%,N/A,48.03,39.99
OMC,71.74,+1.41%,N/A,72.16,46.39
DBOEY,7.46,+1.37%,N/A,8.15,5.42
FLT,120.93,+1.32%,N/A,122.085,49.86
AXAHF,25.7500,+1.30%,N/A,26.0835,15.8600
YNDX,38.47,+1.24%,N/A,42.00,19.93
TEF,16.51,+1.23%,N/A,18.05,12.31
TOT,60.65,+1.15%,N/A,62.45,45.93
ERIC,12.46,+1.14%,N/A,14.22,8.89
PHG,35.38,+0.97%,N/A,35.93,25.68
RHHBY,70.0900,+0.94%,N/A,70.5200,47.8400
NVS,79.71,+0.68%,N/A,80.43,60.23
GEB,21.43,+0.61%,N/A,26.16,20.51
E,48.67,+0.52%,N/A,52.27,39.65
MSCI,44.08,+0.50%,N/A,44.21,26.25
