Watchlist 'premarket'

premarket
Symbol,Mark,Mark %Change,Strength Meter
$DXY,80.3730,,N/A
BLDP,1.7900,+25.17%,Uptrend
PLUG,2.0400,+12.71%,Uptrend
PSUN,3.040,+10.14%,Uptrend
FNSR,22.880,+5.14%,Range Bound
BSX,11.800,+4.06%,Range Bound
LKQ,33.460,+3.75%,Range Bound
SHLD,51.530,+3.10%,Downtrend
INTC,25.000,+3.05%,Range Bound
PWR,30.000,+3.02%,Range Bound
REXX,19.620,+2.40%,Range Bound
GM,39.925,+2.14%,Range Bound
ADBE,56.050,+1.84%,Range Bound
PLD,37.900,+1.83%,Range Bound
GERN,5.970,+1.70%,Uptrend
AGN,98.140,+1.70%,Range Bound
ACTG,13.600,+1.64%,Range Bound
ZIOP,3.930,+1.55%,Uptrend
BA,134.750,+1.52%,Range Bound
BBY,42.230,+1.51%,Range Bound
JEC,58.370,+1.44%,Range Bound
LUV,18.240,+1.33%,Range Bound
HOV,5.005,+1.32%,Range Bound
ASIA,11.750,+1.29%,Range Bound
ITW,79.900,+1.25%,Range Bound
C,51.660,+1.18%,Range Bound
HRB,28.875,+1.17%,Range Bound
TOL,33.110,+1.13%,Range Bound
RY,64.730,+1.08%,Range Bound
WFC,43.710,+1.06%,Range Bound
PBY,13.510,+1.05%,Range Bound
JOY,56.090,+1.01%,Range Bound
BG,81.180,+0.98%,Range Bound
CM,84.300,+0.96%,Range Bound
SPX,1801.150,+0.90%,Range Bound
LB,62.730,+0.88%,N/A
MG,20.020,+0.86%,Range Bound
BHI,54.430,+0.80%,Range Bound
WMT,80.060,+0.78%,Range Bound
CIEN,23.440,+0.77%,Range Bound
TD,89.340,+0.70%,Range Bound
SHPG,134.020,+0.68%,Range Bound
SHOS,29.430,+0.65%,Range Bound
CCJ,20.210,+0.65%,Range Bound
REI,11.240,+0.63%,N/A
MTW,20.940,+0.62%,Range Bound
CVX,121.850,+0.62%,Range Bound
AZO,462.730,+0.59%,Range Bound
MW,51.430,+0.59%,Uptrend
AVB,121.300,+0.56%,Range Bound
MED,26.130,+0.46%,Range Bound
TOT,58.720,+0.43%,Range Bound
COST,121.400,+0.37%,Range Bound
GLNG,36.150,+0.36%,Range Bound
/ZB[H4],129'07,+0.19%,N/A
DOC,11.520,+0.09%,Range Bound
AEM,25.590,+0.08%,Range Bound
IEF,100.590,+0.03%,Range Bound
VGIT,63.492,0.00%,N/A
TUZ,50.919,0.00%,N/A
BKE,50.945,-0.01%,Range Bound
/ZN[H4],124'105,-0.03%,N/A
FIVZ,79.370,-0.03%,N/A
BNS,59.560,-0.03%,Range Bound
SHY,84.480,-0.04%,Range Bound
SCHR,52.540,-0.06%,N/A
VGSH,60.920,-0.07%,N/A
IEI,121.040,-0.07%,Range Bound
MDCO,38.880,-0.08%,Range Bound
CME,78.970,-0.18%,Range Bound
MTN,74.760,-0.24%,Range Bound
BVN,10.950,-0.27%,Downtrend
SGMO,12.650,-0.63%,Uptrend
FGP,23.210,-0.85%,Range Bound
LULU,69.880,-1.05%,Range Bound
URRE,3.200,-1.23%,Uptrend
NDLS,39.490,-1.59%,Range Bound
FDO,66.270,-1.97%,Range Bound
GCO,69.430,-2.72%,Range Bound
FIVE,46.350,-2.93%,Downtrend
BITA,29.850,-2.99%,Range Bound
GPS,38.910,-3.31%,Range Bound
JCP,8.470,-4.29%,Range Bound
SOL,3.370,-5.87%,Downtrend
JOUT,26.000,-6.44%,N/A
AEO,15.110,-7.87%,Range Bound
OSIS,64.850,-9.58%,Downtrend
ULTA,96.730,-18.03%,Downtrend
IOC,70.000,-21.02%,Range Bound
