Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TENZ/GSPTSE,,,N/A
$DXY,80.5660,,N/A
$DJI,16168.350,,N/A
SKS,15.990,,N/A
JYN,56.600,,N/A
GSPC,,,N/A
$GSPTSE,,,N/A
IXIC,,,N/A
DJIA,,,N/A
COMP,4070.064,,N/A
ALIM,4.810,+88.63%,N/A
PSDV,4.650,+56.57%,N/A
CDTI,1.620,+20.90%,N/A
AKS,6.770,+7.12%,N/A
GILT,4.630,+6.54%,N/A
ACN,79.630,+5.30%,N/A
FUEL,52.300,+4.50%,N/A
CAG,32.960,+3.68%,N/A
ELY,8.190,+2.89%,N/A
USU,3.600,+2.86%,N/A
ORCL,35.310,+2.05%,N/A
OMC,71.980,+2.03%,N/A
UNG,21.240,+1.58%,N/A
OCLS,3.600,+1.41%,N/A
BMY,53.200,+1.16%,N/A
WGO,32.000,+1.14%,N/A
FRX,57.500,+0.91%,N/A
BBRY,6.110,+0.83%,N/A
TMUS,27.450,+0.73%,N/A
TSL,13.350,+0.68%,N/A
VXX,44.160,+0.64%,N/A
/DX[H4],80.7150,+0.58%,N/A
SAP,82.740,+0.53%,N/A
GNC,58.780,+0.51%,N/A
FAZ,22.700,+0.44%,N/A
TRI,36.750,+0.41%,N/A
AZN,59.040,+0.34%,N/A
USO,35.120,+0.26%,N/A
IBM,179.000,+0.17%,N/A
CUDA,25.210,+0.16%,N/A
UUP,21.660,+0.14%,N/A
IWM,112.910,+0.03%,N/A
/ZB[H4],129'09,+0.02%,N/A
HSY,95.800,0.00%,N/A
MGCD,13.210,0.00%,N/A
SPX,1810.650,0.00%,N/A
LGF,29.410,0.00%,N/A
MSFT,36.580,0.00%,N/A
MD,105.610,0.00%,N/A
ACRX,9.610,0.00%,N/A
HAS,52.450,0.00%,N/A
IEI,120.910,0.00%,N/A
WPX,19.150,0.00%,N/A
EXI,69.010,0.00%,N/A
IEF,100.550,0.00%,N/A
SOXX,70.770,0.00%,N/A
UA,86.330,0.00%,N/A
TUZ,50.890,0.00%,N/A
NDAQ,39.595,0.00%,N/A
MDU,29.590,0.00%,N/A
FWLT,32.000,0.00%,N/A
ACOR,29.690,0.00%,N/A
EUO,17.240,0.00%,N/A
VIS,98.400,0.00%,N/A
XLP,42.760,0.00%,N/A
PIR,20.730,0.00%,N/A
XLK,34.800,0.00%,N/A
XLI,51.060,0.00%,N/A
WDR,64.280,0.00%,N/A
XLF,21.610,0.00%,N/A
XSD,59.740,0.00%,N/A
XLE,86.670,0.00%,N/A
VDC,111.150,0.00%,N/A
IGM,86.948,0.00%,N/A
MTGE,18.040,0.00%,N/A
MET,51.900,0.00%,N/A
XRT,86.900,0.00%,N/A
XLV,54.980,0.00%,N/A
IGV,79.390,0.00%,N/A
ENB,42.010,0.00%,N/A
CMCSA,50.270,0.00%,N/A
NKE,78.550,0.00%,N/A
CAE,12.300,0.00%,N/A
RL,177.090,0.00%,N/A
ORN,11.710,0.00%,N/A
SCHL,28.810,0.00%,N/A
MAT,45.180,0.00%,N/A
ATU,38.450,0.00%,N/A
SCHR,52.480,0.00%,N/A
SFXE,10.930,0.00%,N/A
ELOS,11.510,0.00%,N/A
OTEX,89.610,0.00%,N/A
VFC,239.340,0.00%,N/A
MCS,14.080,0.00%,N/A
UMPQ,18.780,0.00%,N/A
APAGF,15.550,0.00%,N/A
AMG,209.410,0.00%,N/A
ESS,147.700,0.00%,N/A
HTGC,16.790,0.00%,N/A
FXEN,3.070,0.00%,N/A
IBB,219.310,0.00%,N/A
RTH,60.800,0.00%,N/A
CCE,42.250,0.00%,N/A
EPV,16.460,0.00%,N/A
PMR,34.279,0.00%,N/A
ST,37.680,0.00%,N/A
OXY,92.260,0.00%,N/A
CHS,18.640,0.00%,N/A
VHT,100.690,0.00%,N/A
FIVZ,78.931,0.00%,N/A
REE,1.250,0.00%,N/A
IYW,85.900,0.00%,N/A
VGIT,63.420,0.00%,N/A
IYK,95.030,0.00%,N/A
IYJ,98.930,0.00%,N/A
IYH,114.940,0.00%,N/A
UUPT,19.100,0.00%,N/A
IPK,31.320,0.00%,N/A
DISH,55.290,0.00%,N/A
IYE,49.460,0.00%,N/A
SIMG,5.530,0.00%,N/A
RY,65.370,0.00%,N/A
DATE,5.940,0.00%,N/A
BRE,55.910,0.00%,N/A
VGSH,60.990,0.00%,N/A
LF,8.060,0.00%,N/A
CRM,53.360,0.00%,N/A
SHY,84.460,-0.04%,N/A
DECK,84.140,-0.04%,N/A
UDN,26.920,-0.07%,N/A
SNY,50.820,-0.08%,N/A
FXE,135.270,-0.10%,N/A
QQQ,86.030,-0.13%,N/A
AAPL,550.000,-0.14%,N/A
IVV,182.410,-0.14%,N/A
SPY,181.390,-0.17%,N/A
INTC,25.090,-0.24%,N/A
UDNT,17.300,-0.29%,N/A
S,8.920,-0.34%,N/A
/ZN[H4],123'270,-0.36%,N/A
FAS,85.900,-0.48%,N/A
IEC,4.300,-0.69%,N/A
JPM,56.840,-0.70%,N/A
DRI,52.300,-1.17%,N/A
PAAS,10.910,-1.18%,N/A
GLD,116.210,-1.19%,N/A
TGT,62.720,-1.31%,N/A
EEM,40.720,-1.40%,N/A
GDX,20.540,-1.53%,N/A
VRTX,67.000,-2.38%,N/A
FB,54.250,-2.38%,N/A
SLV,18.590,-2.62%,N/A
RAD,5.550,-3.65%,N/A
GIG,1.470,-3.92%,N/A
SPCB,3.970,-6.37%,N/A
SMTC,23.490,-16.32%,N/A
