Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
$DXY,79.8890,,N/A
$DJI,15843.530,,N/A
SKS,15.990,,Range Bound
HGF4,,,N/A
$GSPTSE,,,N/A
GCG4,,,N/A
DJIA,,,N/A
PLF4,,,N/A
TENZ/GSPTSE,,,N/A
ATHM,30.070,,N/A
PAF4,,,N/A
TUS/V,,,N/A
SIH4,,,N/A
IXIC,,,N/A
CLF4,,,N/A
COMP,4003.813,,N/A
CYTR,3.990,+66.95%,Uptrend
BGMD,1.3900,+28.70%,N/A
RNN,.48000,+21.52%,N/A
NRF,11.630,+17.00%,Uptrend
ECTE,3.360,+14.68%,N/A
NSTG,15.650,+11.39%,N/A
LIVE,3.640,+10.98%,N/A
DMD,5.870,+9.31%,Range Bound
SNI,81.000,+7.64%,Range Bound
FREE,1.1500,+6.48%,N/A
KMDA,15.180,+6.15%,N/A
PHX,32.440,+5.09%,N/A
PLCE,54.960,+4.31%,Range Bound
VXX,46.890,+4.20%,Range Bound
MA,791.550,+3.66%,Range Bound
BIOL,1.7900,+3.47%,Uptrend
FAZ,24.300,+3.32%,Range Bound
V,205.620,+3.10%,Range Bound
URBN,36.840,+3.08%,Range Bound
BAS,14.330,+2.80%,Downtrend
XPO,23.140,+2.53%,Range Bound
UNG,21.210,+2.17%,Uptrend
GRPN,10.240,+1.99%,Range Bound
RDWR,17.000,+1.98%,Range Bound
CLRX,4.490,+1.95%,N/A
CW,53.320,+1.52%,Range Bound
KTOS,6.620,+1.38%,Range Bound
CGEN,9.290,+1.20%,Range Bound
VIMC,1.8200,+1.11%,N/A
OXBT,5.540,+1.09%,N/A
QTS,21.320,+0.99%,Range Bound
WAB,67.220,+0.86%,Range Bound
ITC,94.030,+0.78%,Range Bound
SALM,8.990,+0.67%,Range Bound
HD,79.000,+0.50%,Range Bound
WGP,41.000,+0.42%,N/A
QCOR,52.030,+0.41%,Downtrend
VPHM,49.700,+0.36%,Range Bound
BP,46.700,+0.28%,Range Bound
CAM,55.020,+0.26%,Range Bound
XLP,42.930,+0.16%,Range Bound
PM,85.920,+0.15%,Range Bound
SNY,50.130,+0.12%,Range Bound
OSTK,25.640,+0.08%,Range Bound
PMR,33.720,+0.03%,N/A
LLEN,1.680,0.00%,Range Bound
BKX,63.680,0.00%,Range Bound
BBRY,5.970,0.00%,Range Bound
OHRP,8.150,0.00%,N/A
VDC,111.290,-0.01%,Range Bound
SHY,84.480,-0.04%,Range Bound
FNSR,21.550,-0.05%,Range Bound
TUZ,50.900,-0.05%,N/A
VGSH,60.930,-0.07%,N/A
RDS/A,68.150,-0.07%,Range Bound
/ZN[H4],124'135,-0.08%,N/A
/ZB[H4],129'12,-0.10%,N/A
IEI,121.120,-0.14%,Range Bound
SCHR,52.610,-0.17%,N/A
VGIT,63.540,-0.22%,N/A
HPQ,26.980,-0.22%,Range Bound
CHEF,25.170,-0.28%,Range Bound
GTE,6.970,-0.29%,Range Bound
HOFT,16.050,-0.31%,Range Bound
RTH,60.270,-0.31%,Range Bound
TENZ,81.420,-0.32%,N/A
ERIC,11.900,-0.34%,Range Bound
IEF,100.800,-0.39%,Range Bound
TWX,66.350,-0.39%,Range Bound
FIVZ,79.190,-0.40%,N/A
WNS,20.150,-0.49%,Range Bound
GDOT,22.830,-0.57%,Range Bound
IYK,94.630,-0.64%,N/A
XRT,85.460,-0.65%,Range Bound
PDS,9.050,-0.66%,Range Bound
SLV,19.530,-0.66%,Range Bound
TRP,43.930,-0.68%,Range Bound
DISCA,84.530,-0.75%,Range Bound
IPK,31.350,-0.76%,N/A
GLD,120.860,-0.79%,Range Bound
MET,51.430,-0.81%,Range Bound
BNS,59.660,-0.83%,Range Bound
SOXX,69.530,-0.87%,Range Bound
STI,35.200,-0.87%,Range Bound
XLK,34.540,-0.92%,Range Bound
USO,34.980,-0.93%,Range Bound
EXI,67.972,-0.96%,N/A
GD,89.650,-0.99%,Range Bound
DFS,52.680,-1.00%,Range Bound
ANGO,15.710,-1.01%,Range Bound
MUR,63.450,-1.01%,Range Bound
BXMT,26.660,-1.04%,Range Bound
MRO,35.720,-1.05%,Range Bound
JPM,56.100,-1.06%,Range Bound
EBAY,51.370,-1.06%,Range Bound
PSX,70.850,-1.06%,Range Bound
SPPI,9.290,-1.06%,Range Bound
MWV,34.960,-1.08%,Range Bound
IGM,85.672,-1.11%,N/A
MCO,72.280,-1.11%,Range Bound
LULU,68.350,-1.11%,Range Bound
RY,64.640,-1.12%,Range Bound
SPY,178.720,-1.12%,Range Bound
SPX,1782.220,-1.13%,Range Bound
IVV,179.720,-1.16%,Range Bound
FCX,34.480,-1.18%,Range Bound
QQQ,85.270,-1.18%,Range Bound
COST,118.570,-1.22%,Range Bound
XONE,54.010,-1.24%,Downtrend
HES,78.940,-1.25%,Range Bound
IYW,84.990,-1.25%,Range Bound
GS,167.600,-1.25%,Range Bound
GWPH,30.560,-1.26%,N/A
CBI,77.500,-1.27%,Range Bound
CVX,122.080,-1.28%,Range Bound
COF,71.860,-1.32%,Range Bound
DIS,70.620,-1.33%,Range Bound
WFC,43.520,-1.34%,Range Bound
XLF,21.110,-1.36%,Range Bound
WU,16.580,-1.37%,Range Bound
FHCO,8.510,-1.39%,Range Bound
CMCSA,48.690,-1.42%,Range Bound
RST,11.790,-1.42%,Range Bound
SU,33.550,-1.44%,Range Bound
XSD,58.020,-1.44%,Range Bound
CSCO,20.900,-1.46%,Range Bound
XLE,85.000,-1.47%,Range Bound
IYE,48.430,-1.48%,Range Bound
XOM,94.270,-1.50%,Range Bound
VIS,95.480,-1.53%,Range Bound
IYJ,96.040,-1.54%,Range Bound
LSTR,54.460,-1.55%,Range Bound
XLI,49.570,-1.57%,Range Bound
IWM,109.630,-1.62%,Range Bound
AXP,83.900,-1.63%,Range Bound
XLV,54.160,-1.72%,Range Bound
MPC,86.000,-1.73%,Uptrend
DOW,41.050,-1.75%,Range Bound
FOX,31.740,-1.76%,Range Bound
IYH,113.500,-1.77%,Range Bound
VHT,99.160,-1.81%,Range Bound
BAC,15.270,-1.86%,Range Bound
IGV,77.201,-1.87%,Range Bound
JDSU,12.090,-1.87%,Range Bound
OI,33.080,-1.87%,Range Bound
ACT,160.380,-1.94%,Range Bound
MS,30.160,-1.98%,Range Bound
UDR,23.910,-2.01%,Range Bound
HSIC,112.810,-2.09%,Range Bound
LYG,5.050,-2.13%,Range Bound
BEN,53.780,-2.20%,Range Bound
EEM,41.090,-2.21%,Range Bound
RIO,52.100,-2.25%,Range Bound
BLK,292.320,-2.36%,Range Bound
ARE,61.840,-2.38%,Range Bound
NOK,7.730,-2.40%,Range Bound
TOT,57.010,-2.41%,Range Bound
IBB,214.300,-2.43%,Range Bound
REXR,13.460,-2.46%,Range Bound
MU,22.560,-2.51%,Uptrend
ARCP,12.440,-2.58%,Range Bound
CELG,166.050,-2.76%,Range Bound
ELX,7.160,-2.85%,Range Bound
ABX,16.380,-2.90%,Range Bound
DDC,13.630,-3.20%,Range Bound
GLF,47.160,-3.26%,Range Bound
DDD,77.720,-3.43%,Range Bound
FAS,80.460,-3.53%,Range Bound
ZGNX,3.0000,-3.54%,N/A
TECD,50.010,-3.59%,Range Bound
GDX,21.220,-3.68%,Downtrend
GOLD,65.350,-3.84%,Downtrend
HNP,36.200,-4.03%,Downtrend
GENT,54.500,-4.03%,N/A
CYTX,2.3100,-4.15%,Range Bound
HSOL,2.6700,-4.30%,Downtrend
RBS,10.580,-4.34%,Range Bound
AVP,17.030,-4.43%,Range Bound
WTI,14.930,-4.48%,Downtrend
OREX,5.560,-4.63%,Range Bound
MITK,5.960,-4.64%,Range Bound
JASO,8.370,-4.89%,Downtrend
AWAY,37.930,-4.94%,Range Bound
KGC,4.600,-4.96%,Range Bound
SPWR,28.050,-5.01%,Downtrend
ALSN,25.970,-5.25%,Range Bound
JOY,53.150,-5.49%,Range Bound
ECA,18.150,-5.57%,Range Bound
BLDP,1.5400,-6.10%,Uptrend
PDCE,52.530,-9.26%,Range Bound
LH,88.550,-10.69%,Downtrend
GEVO,1.2100,-27.11%,Downtrend
AVNR,3.010,-29.84%,Downtrend
