Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TENZ/GSPTSE,,,N/A
$DXY,80.0080,,N/A
$DJI,15843.530,,N/A
TESSERATECHNOLOGIES,,,N/A
HLT,20.000,,N/A
GSPC,,,N/A
$GSPTSE,,,N/A
CLZ/V,,,N/A
TLOG,7.000,,N/A
CMOPRE,,,N/A
COMP,4003.813,,N/A
UNS,58.950,+28.60%,Range Bound
BAXS,1.150,+19.79%,Downtrend
PRTA,29.030,+5.99%,Range Bound
ERJ,31.870,+5.60%,Range Bound
FB,51.230,+3.75%,Range Bound
SNCR,29.010,+2.98%,Downtrend
VLRS,15.270,+2.62%,Uptrend
VVUS,9.670,+2.22%,Range Bound
ZLC,13.010,+2.04%,Downtrend
AAL,26.240,+0.96%,N/A
JCI,50.550,+0.78%,Range Bound
NOK,7.780,+0.65%,Range Bound
LOCK,16.120,+0.62%,Range Bound
ADS,244.980,+0.53%,Range Bound
LPTN,4.100,+0.49%,Downtrend
HBHC,34.290,+0.44%,Range Bound
CEMP,12.560,+0.40%,N/A
MHK,139.980,+0.33%,Range Bound
WYN,70.740,0.00%,Range Bound
HST,18.110,0.00%,Range Bound
JPM,56.070,0.00%,Range Bound
ROG,60.910,0.00%,Range Bound
IEI,121.120,0.00%,Range Bound
IEF,100.800,0.00%,Range Bound
TUZ,50.900,0.00%,N/A
SHY,84.480,0.00%,Range Bound
NDAQ,38.710,0.00%,Range Bound
MVG,5.280,0.00%,Range Bound
CVE,28.510,0.00%,Range Bound
ADBE,54.640,0.00%,Range Bound
/ZB[H4],129'16,0.00%,N/A
PPG,182.350,0.00%,Range Bound
ENDP,63.890,0.00%,Range Bound
CMO,11.990,0.00%,Range Bound
CNC,55.730,0.00%,Range Bound
BEE,8.630,0.00%,Range Bound
HOT,72.220,0.00%,Range Bound
ANF,33.270,0.00%,Range Bound
SCHR,52.610,0.00%,N/A
BA,132.560,0.00%,Range Bound
FNV,39.250,0.00%,Range Bound
STJ,58.150,0.00%,Range Bound
MIC,53.910,0.00%,Range Bound
RTN,85.400,0.00%,Range Bound
FCS,12.510,0.00%,Range Bound
CHH,46.560,0.00%,Range Bound
TRMB,31.740,0.00%,Range Bound
VAC,49.820,0.00%,Range Bound
DORM,54.430,0.00%,Uptrend
RFIL,8.620,0.00%,N/A
TER,16.840,0.00%,Range Bound
REE,1.420,0.00%,Range Bound
CSFS,1.640,0.00%,N/A
EBS,21.310,0.00%,Range Bound
MAR,46.010,0.00%,Range Bound
MHR,6.100,0.00%,Range Bound
VGZ,.352,0.00%,Downtrend
RY,64.640,0.00%,Range Bound
MKTO,30.940,0.00%,Range Bound
VGSH,60.930,0.00%,N/A
GWW,254.000,-0.02%,Range Bound
VGIT,63.540,-0.02%,N/A
CLF,24.000,-0.04%,Downtrend
/ZN[H4],124'135,-0.08%,N/A
FIVZ,79.190,-0.09%,N/A
AET,66.240,-0.09%,Range Bound
PFE,30.590,-0.20%,Range Bound
CCL,35.270,-0.31%,Range Bound
TDC,39.860,-0.50%,Downtrend
MSFT,37.400,-0.56%,Range Bound
AMID,22.320,-0.67%,N/A
SNDK,66.800,-0.85%,Range Bound
RCL,42.940,-1.20%,Range Bound
DHR,72.950,-1.33%,Range Bound
NEM,23.140,-1.41%,Downtrend
SEAS,29.650,-1.43%,Range Bound
JDSU,12.000,-1.48%,Range Bound
CSTM,20.750,-1.52%,Range Bound
ORCL,33.750,-2.34%,Range Bound
NRF,11.620,-2.76%,Uptrend
AWAY,36.550,-3.64%,Range Bound
TAM,19.240,-7.68%,Range Bound
SUNE,11.800,-7.74%,Range Bound
LULU,62.000,-9.29%,Range Bound
CIEN,20.600,-10.04%,Range Bound
ATHN,114.500,-12.50%,Range Bound
SYN,1.0300,-18.90%,N/A
IMUC,1.060,-61.03%,Range Bound
