Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
CWTR,.8500,+1.07%,Range Bound
ADS,245.970,+0.93%,Range Bound
SU,33.840,+0.86%,Range Bound
PPG,183.920,+0.86%,Range Bound
XLNX,43.410,+0.81%,Range Bound
MHK,140.640,+0.80%,Range Bound
UNG,21.370,+0.75%,Uptrend
FCS,12.600,+0.72%,Range Bound
IBB,215.720,+0.71%,Range Bound
VAC,50.130,+0.62%,Range Bound
ENB,41.180,+0.54%,Range Bound
PSX,71.220,+0.52%,Range Bound
IYE,48.670,+0.50%,Range Bound
ABX,16.460,+0.49%,Range Bound
EUO,17.090,+0.47%,Range Bound
DHR,74.250,+0.43%,Range Bound
JPM,56.310,+0.43%,Range Bound
UUP,21.570,+0.40%,Range Bound
RTN,85.710,+0.36%,Range Bound
BEE,8.660,+0.35%,Range Bound
BA,132.960,+0.30%,Range Bound
FLEX,7.150,+0.28%,Range Bound
VLRS,14.920,+0.27%,Uptrend
FNV,39.350,+0.25%,Range Bound
DORM,54.560,+0.24%,Uptrend
XLE,85.250,+0.24%,Range Bound
ENDP,64.040,+0.23%,Range Bound
NDAQ,38.790,+0.21%,Range Bound
FAZ,24.400,+0.16%,Range Bound
IWM,109.750,+0.14%,Range Bound
VIS,95.580,+0.10%,Range Bound
XLI,49.620,+0.10%,Range Bound
LOCK,16.030,+0.06%,Range Bound
MAR,46.020,+0.02%,Range Bound
VGSH,60.940,+0.02%,N/A
IYJ,96.050,+0.01%,Range Bound
KGC,4.600,0.00%,Range Bound
XLF,21.110,0.00%,Range Bound
CSTM,21.070,0.00%,Range Bound
/ZB[H4],129'09,0.00%,N/A
CHH,46.550,-0.02%,Range Bound
/ZN[H4],124'070,-0.03%,N/A
USO,34.970,-0.03%,Range Bound
TRMB,31.730,-0.03%,Range Bound
SHY,84.450,-0.04%,Range Bound
TUZ,50.880,-0.04%,N/A
/DX[H4],80.3050,-0.06%,N/A
MKTO,30.910,-0.10%,Range Bound
CCL,35.340,-0.11%,Range Bound
PMR,33.678,-0.12%,N/A
AAPL,560.540,-0.15%,Range Bound
FAS,80.230,-0.16%,Range Bound
XRT,85.320,-0.16%,Range Bound
CMO,11.970,-0.17%,Range Bound
IEI,120.890,-0.19%,Range Bound
FXE,135.990,-0.23%,Range Bound
VGIT,63.403,-0.24%,N/A
STJ,58.010,-0.24%,Range Bound
SCHR,52.480,-0.25%,N/A
UDN,27.070,-0.26%,Range Bound
NOK,7.710,-0.26%,Range Bound
IEF,100.510,-0.29%,Range Bound
QQQ,84.930,-0.29%,Range Bound
MPC,85.700,-0.33%,Range Bound
FIVZ,79.000,-0.33%,N/A
JCI,49.990,-0.34%,Range Bound
EXI,67.730,-0.36%,N/A
KND,19.340,-0.36%,Uptrend
SPX,1775.500,-0.38%,Range Bound
IVV,179.040,-0.38%,Range Bound
ACN,74.080,-0.43%,Range Bound
SPY,177.950,-0.43%,Range Bound
FCX,34.290,-0.46%,Range Bound
IGM,85.270,-0.47%,N/A
MUR,63.150,-0.47%,Range Bound
HCP,35.670,-0.47%,Range Bound
HES,78.560,-0.48%,Range Bound
IYW,84.560,-0.51%,Range Bound
VHT,98.650,-0.51%,Range Bound
VGZ,.350,-0.57%,Downtrend
BMO,64.720,-0.57%,Range Bound
EEM,40.850,-0.58%,Range Bound
IYH,112.830,-0.59%,Range Bound
SAP,80.910,-0.60%,Range Bound
RTH,59.900,-0.61%,Range Bound
BERY,21.810,-0.64%,Range Bound
NEM,23.310,-0.68%,Downtrend
IGV,76.670,-0.69%,Range Bound
WYN,70.250,-0.69%,Range Bound
XLK,34.300,-0.69%,Range Bound
CM,84.190,-0.70%,Range Bound
DOW,40.760,-0.71%,Range Bound
XLV,53.770,-0.72%,Range Bound
AVB,119.670,-0.73%,Range Bound
XSD,57.590,-0.74%,Range Bound
GWW,252.030,-0.80%,Range Bound
GOOD,17.350,-0.80%,Range Bound
SNI,80.330,-0.83%,Range Bound
RY,64.100,-0.84%,Range Bound
TRP,43.530,-0.91%,Range Bound
CLF,23.790,-0.92%,Downtrend
TU,34.240,-0.93%,Range Bound
SOXX,68.850,-0.98%,Range Bound
IYK,93.680,-1.00%,N/A
MSFT,37.220,-1.04%,Range Bound
RCL,43.000,-1.06%,Range Bound
BP,46.150,-1.18%,Range Bound
OCLS,4.229,-1.19%,N/A
CVX,120.640,-1.20%,Range Bound
VDC,109.930,-1.22%,Range Bound
PFE,30.260,-1.27%,Range Bound
AWAY,37.430,-1.32%,Range Bound
TDC,39.520,-1.35%,Downtrend
XLP,42.340,-1.37%,Range Bound
REE,1.400,-1.41%,Downtrend
HST,17.850,-1.44%,Range Bound
CVE,28.090,-1.47%,Range Bound
MVG,5.200,-1.52%,Range Bound
AET,65.270,-1.55%,Range Bound
AAL,25.580,-1.58%,N/A
RDS/A,67.070,-1.58%,Range Bound
UNFI,67.180,-1.61%,Range Bound
PEP,81.280,-1.68%,Range Bound
INTC,23.980,-1.80%,Range Bound
ROG,59.740,-1.92%,Range Bound
IPK,30.940,-2.06%,N/A
AMID,22.000,-2.09%,N/A
GLD,118.290,-2.13%,Range Bound
ANF,32.550,-2.16%,Range Bound
GOLD,63.810,-2.28%,Downtrend
TAS,.850,-2.31%,N/A
MIC,52.660,-2.32%,Range Bound
SEAS,29.350,-2.43%,Range Bound
SNDK,65.650,-2.55%,Range Bound
CNC,54.300,-2.57%,Range Bound
ORCL,33.610,-2.75%,Range Bound
TER,16.370,-2.79%,Range Bound
NRF,11.600,-2.93%,Uptrend
JDSU,11.810,-3.04%,Range Bound
AFH,12.620,-3.15%,N/A
ATHN,126.610,-3.24%,Range Bound
SLV,18.810,-3.79%,Range Bound
CIEN,21.310,-6.94%,Range Bound
TAM,19.300,-7.39%,Range Bound
CPXX,3.110,-8.53%,N/A
SUNE,11.470,-10.32%,Range Bound
LULU,60.510,-11.47%,Range Bound
SIGM,4.490,-16.07%,Downtrend
SYN,1.040,-18.11%,N/A
CSFS,1.330,-18.90%,N/A
IMUC,1.100,-59.56%,Downtrend
