Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TRA/V,,,N/A
$DXY,80.2290,,N/A
BHR/V,,,N/A
$DJI,15739.430,,N/A
SKS,15.990,,Range Bound
FDR/V,,,N/A
JYN,56.600,,N/A
GSPC,,,N/A
HLT,21.540,,N/A
HGF4,,,N/A
$GSPTSE,,,N/A
GCG4,,,N/A
CLZ/V,,,N/A
IO/V,,,N/A
CMOPRE,,,N/A
TSM/V,,,N/A
TENZ/GSPTSE,,,N/A
TESSERATECHNOLOGIES,,,N/A
UDNT,17.430,,N/A
CDN/V,,,N/A
CLF4,,,N/A
TLOG,7.000,,N/A
COMP,3998.403,,N/A
GNVC,2.440,+40.23%,N/A
UNS,58.510,+27.64%,Uptrend
ZLC,14.730,+15.53%,Range Bound
MDXG,7.930,+13.77%,Uptrend
BAXS,1.090,+13.54%,Range Bound
XLS,18.910,+8.37%,Range Bound
ARCW,23.850,+8.07%,N/A
EJ,13.800,+6.81%,Uptrend
FXEN,3.200,+6.31%,Range Bound
VVUS,10.030,+6.03%,Range Bound
ADBE,57.700,+5.60%,Range Bound
EBS,22.450,+5.35%,Range Bound
MHR,6.420,+5.25%,Range Bound
FB,51.790,+4.88%,Uptrend
CSIQ,28.030,+4.71%,Range Bound
SNCR,29.460,+4.58%,Range Bound
LUV,18.790,+4.56%,Range Bound
LPTN,4.260,+4.41%,Downtrend
SPNS,7.250,+3.57%,N/A
RFIL,8.900,+3.25%,N/A
SNTA,4.790,+3.01%,Range Bound
BSX,11.490,+2.77%,Range Bound
CEMP,12.850,+2.72%,N/A
ERJ,30.970,+2.62%,Range Bound
EPV,17.240,+2.07%,Range Bound
HBHC,34.660,+1.52%,Range Bound
PRTA,27.800,+1.50%,Range Bound
UUPT,19.330,+1.47%,N/A
HOT,73.260,+1.44%,Range Bound
VXX,47.770,+1.40%,Range Bound
WPC,60.670,+1.22%,Range Bound
CPA,154.760,+1.20%,Range Bound
XOM,95.360,+1.17%,Range Bound
