Watchlist 'premarket'

premarket
Symbol,Mark,Mark %Change,Strength Meter
$DXY,80.3740,,N/A
BLDP,1.8800,+31.47%,Range Bound
PSUN,3.180,+15.22%,Range Bound
PLUG,2.070,+14.36%,Uptrend
GERN,6.450,+9.88%,Uptrend
FNSR,23.100,+6.15%,Range Bound
ZIOP,4.040,+4.39%,Uptrend
SGMO,13.000,+2.12%,Uptrend
INTC,24.710,+1.85%,Range Bound
AGN,98.000,+1.55%,Range Bound
ASIA,11.780,+1.55%,Range Bound
CIEN,23.600,+1.46%,Range Bound
SHLD,50.600,+1.24%,Downtrend
GCO,72.000,+0.88%,Range Bound
LUV,18.110,+0.61%,Range Bound
GM,39.290,+0.51%,Range Bound
WFC,43.420,+0.39%,Range Bound
TOL,32.850,+0.34%,Range Bound
CVX,121.500,+0.33%,Range Bound
BHI,54.150,+0.28%,Range Bound
MW,51.270,+0.27%,Uptrend
C,51.170,+0.22%,Range Bound
HOV,4.950,+0.20%,Range Bound
/ZB[H4],129'07,+0.19%,N/A
BA,132.920,+0.14%,Range Bound
IEF,100.630,+0.07%,Range Bound
/ZN[H4],124'130,+0.04%,N/A
JOY,55.550,+0.04%,Range Bound
LKQ,32.250,0.00%,Range Bound
WMT,79.440,0.00%,Range Bound
BNS,59.580,0.00%,Range Bound
MG,19.850,0.00%,Range Bound
BSX,11.340,0.00%,Range Bound
SPX,1785.030,0.00%,Range Bound
URRE,3.240,0.00%,Uptrend
AEM,25.570,0.00%,Range Bound
PBY,13.370,0.00%,Range Bound
COST,120.950,0.00%,Range Bound
SCHR,52.570,0.00%,N/A
BKE,50.950,0.00%,Range Bound
IEI,121.120,0.00%,Range Bound
JEC,57.540,0.00%,Range Bound
PWR,29.120,0.00%,Range Bound
LULU,70.620,0.00%,Range Bound
AZO,460.000,0.00%,Range Bound
AVB,120.630,0.00%,Range Bound
MDCO,38.910,0.00%,Range Bound
TUZ,50.920,0.00%,N/A
SHY,84.510,0.00%,Range Bound
SHOS,29.240,0.00%,Range Bound
CCJ,20.080,0.00%,Range Bound
TD,88.720,0.00%,Range Bound
BVN,10.980,0.00%,Downtrend
ADBE,55.040,0.00%,Range Bound
CME,79.110,0.00%,Range Bound
BG,80.390,0.00%,Range Bound
REXX,19.160,0.00%,Range Bound
FGP,23.410,0.00%,Range Bound
FIVZ,79.390,0.00%,N/A
VGIT,63.490,0.00%,N/A
HRB,28.540,0.00%,Range Bound
GLNG,36.020,0.00%,Range Bound
ACTG,13.380,0.00%,Range Bound
JOUT,27.790,0.00%,N/A
ITW,78.910,0.00%,Range Bound
PLD,37.220,0.00%,Range Bound
LB,62.180,0.00%,N/A
MED,26.010,0.00%,Range Bound
RY,64.040,0.00%,Range Bound
GPS,40.240,0.00%,Range Bound
MTN,74.940,0.00%,Range Bound
CM,83.500,0.00%,Range Bound
VGSH,60.960,0.00%,N/A
BBY,41.460,-0.34%,Range Bound
DOC,11.470,-0.35%,Range Bound
TOT,58.220,-0.43%,Range Bound
MTW,20.680,-0.62%,Range Bound
SHPG,131.980,-0.86%,Range Bound
FDO,67.000,-0.89%,Range Bound
SOL,3.540,-1.12%,Downtrend
OSIS,69.990,-2.41%,Range Bound
JCP,8.630,-2.49%,Range Bound
NDLS,39.100,-2.57%,Range Bound
BITA,29.900,-2.83%,Range Bound
REI,10.700,-4.21%,N/A
AEO,15.690,-4.33%,Range Bound
FIVE,43.440,-9.03%,Range Bound
ULTA,95.990,-18.65%,Range Bound
IOC,70.000,-21.02%,Range Bound
