Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
BSX,11.440,+0.35%,Range Bound
IEF,100.930,+0.32%,Range Bound
UDNT,17.100,+0.29%,N/A
IGV,78.330,+0.28%,Range Bound
ORCL,33.630,+0.27%,Range Bound
IGM,86.330,+0.21%,N/A
HES,79.510,+0.20%,Range Bound
IEI,121.110,+0.16%,Range Bound
TOT,57.600,+0.16%,Range Bound
SCHR,52.580,+0.13%,N/A
IYW,85.330,+0.13%,Range Bound
SYK,71.650,+0.13%,Range Bound
VGIT,63.510,+0.10%,N/A
NWL,31.110,+0.10%,Range Bound
SHY,84.490,+0.02%,Range Bound
CHT,30.870,0.00%,Range Bound
CM,84.290,0.00%,Range Bound
EUO,17.060,0.00%,Range Bound
UDN,27.080,0.00%,Range Bound
UUP,21.540,0.00%,Range Bound
FIVZ,79.004,0.00%,N/A
IPK,30.880,0.00%,N/A
/DX[H4],80.2050,-0.01%,N/A
PSX,72.600,-0.01%,Range Bound
FXE,136.080,-0.01%,Range Bound
VGSH,60.960,-0.02%,N/A
TUZ,50.880,-0.02%,N/A
SSL,47.470,-0.02%,Range Bound
VXX,47.440,-0.02%,Range Bound
/ZB[H4],129'26,-0.02%,N/A
XLK,34.530,-0.03%,Range Bound
/ZN[H4],124'160,-0.04%,N/A
XLI,50.220,-0.04%,Range Bound
VIS,96.870,-0.06%,Range Bound
IYK,93.970,-0.06%,N/A
SCS,15.220,-0.07%,Range Bound
SLXP,84.730,-0.08%,Range Bound
IYJ,97.310,-0.10%,Range Bound
SCMP,8.140,-0.12%,Range Bound
BDX,105.750,-0.12%,Range Bound
IWM,111.350,-0.14%,Range Bound
QQQ,85.150,-0.15%,Range Bound
RDS/A,67.440,-0.16%,Range Bound
PMR,33.760,-0.18%,N/A
EQU,5.340,-0.19%,Range Bound
USO,34.870,-0.20%,Range Bound
TRP,44.030,-0.20%,Range Bound
HI,28.470,-0.21%,Range Bound
GS,170.490,-0.27%,Range Bound
MUR,63.110,-0.30%,Range Bound
MPC,86.090,-0.30%,Range Bound
SPX,1781.000,-0.31%,Range Bound
FDX,139.410,-0.31%,Range Bound
SPY,178.650,-0.32%,Range Bound
IVV,179.560,-0.34%,Range Bound
AMZN,387.650,-0.34%,Range Bound
INBK,23.030,-0.35%,N/A
CMCSA,49.050,-0.39%,Range Bound
C,50.690,-0.41%,Range Bound
SLV,19.140,-0.42%,Range Bound
RTH,59.740,-0.42%,Range Bound
VDC,109.370,-0.43%,Range Bound
XRT,85.440,-0.43%,Range Bound
ERIC,11.690,-0.47%,Range Bound
XLP,42.060,-0.47%,Range Bound
VHT,98.510,-0.47%,Range Bound
XLV,53.650,-0.48%,Range Bound
CREG,4.120,-0.48%,Range Bound
XOM,96.750,-0.48%,Range Bound
RY,64.810,-0.54%,Range Bound
IYE,48.700,-0.55%,Range Bound
IYH,112.580,-0.57%,Range Bound
BMO,65.120,-0.58%,Range Bound
XLE,85.370,-0.58%,Range Bound
PAYX,42.900,-0.63%,Range Bound
KGC,4.600,-0.65%,Range Bound
UBS,18.260,-0.65%,Range Bound
XLF,21.120,-0.66%,Range Bound
GIS,49.580,-0.66%,Range Bound
GLD,118.850,-0.70%,Range Bound
GOLD,63.880,-0.73%,Range Bound
GDX,21.220,-0.75%,Range Bound
HCBK,9.160,-0.76%,Range Bound
ACST,1.2500,-0.79%,N/A
EXI,68.040,-0.80%,N/A
AJG,45.530,-0.81%,Range Bound
UUPT,19.170,-0.83%,N/A
SNY,50.170,-0.83%,Range Bound
T,33.860,-0.85%,Range Bound
EEM,40.860,-0.86%,Range Bound
TTMI,7.640,-0.91%,Downtrend
CHTR,130.110,-0.95%,Range Bound
PSA,149.520,-0.99%,Range Bound
EBAY,52.580,-1.00%,Range Bound
AMGN,111.000,-1.00%,Range Bound
HON,86.480,-1.02%,Range Bound
NUE,51.510,-1.04%,Range Bound
FAS,81.170,-1.06%,Range Bound
LMCA,145.060,-1.08%,Range Bound
BP,45.520,-1.11%,Range Bound
MET,50.740,-1.11%,Range Bound
CVX,118.870,-1.12%,Range Bound
KKR,24.790,-1.16%,Range Bound
IBB,213.390,-1.16%,Range Bound
TLM,11.430,-1.21%,Range Bound
MTB,113.730,-1.24%,Range Bound
CS,29.290,-1.35%,Range Bound
ORN,11.360,-1.39%,Range Bound
ITC,92.580,-1.43%,Range Bound
CHK,26.360,-1.53%,Range Bound
SU,33.500,-1.56%,Range Bound
VRNG,3.030,-1.62%,Range Bound
AAL,26.100,-1.92%,N/A
MRO,34.850,-2.08%,Range Bound
CFN,38.490,-2.53%,Range Bound
NBL,67.610,-2.58%,Range Bound
XCO,4.880,-2.59%,Range Bound
SAFM,68.420,-3.29%,Range Bound
PAY,24.150,-3.32%,Range Bound
AKG,1.9100,-4.50%,Range Bound
MGLN,56.970,-4.73%,Range Bound
SYNL,15.200,-5.06%,N/A
FDS,109.620,-6.36%,Range Bound
ENT,14.260,-6.92%,N/A
JBL,17.100,-13.11%,Range Bound
FCEL,1.4100,-24.19%,Range Bound
TRGT,3.910,-34.29%,Downtrend
