Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	industry	Summary Quote
FLWS	1-800 FLOWERS.COM, Inc.	4.9	130717412.7	n/a	1999	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/flws
FCTY	1st Century Bancshares, Inc	7.28	67321821.84	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/fcty
FCCY	1st Constitution Bancorp (NJ)	10.17	60966932.94	n/a	n/a	Finance	Savings Institutions	http://www.nasdaq.com/symbol/fccy
SRCE	1st Source Corporation	31.76	772483457.52	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/srce
FUBC	1st United Bancorp, Inc. (FL)	7.863	269613156.783	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/fubc
VNET	21Vianet Group, Inc.	18.56	1095968000	n/a	n/a	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/vnet
JOBS	51job, Inc.	78.01	2292700872.33	n/a	2004	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/jobs
EGHT	8x8 Inc	10.92	794606609.16	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/eght
AVHI	A V Homes, Inc.	19.12	293363245.92	n/a	n/a	Capital Goods	Homebuilding	http://www.nasdaq.com/symbol/avhi
SHLM	A. Schulman, Inc.	32.99	960705946.74	n/a	1972	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/shlm
AAON	AAON, Inc.	28.74	1055526306.42	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aaon
ASTM	Aastrom Biosciences, Inc.	3.73	14111347.19	n/a	1997	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/astm
ABAX	ABAXIS, Inc.	34.99	780958990.09	n/a	1992	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/abax
ABGB	Abengoa, S.A.	11.66	0	n/a	n/a	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/abgb
ABMD	ABIOMED, Inc.	25.84	1015050833.52	n/a	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/abmd
AXAS	Abraxas Petroleum Corporation	3.165	293709664.23	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/axas
ACTG	Acacia Research Corporation	14.96	747306783.52	n/a	n/a	Miscellaneous	Multi-Sector Companies	http://www.nasdaq.com/symbol/actg
ACHC	Acadia Healthcare Company, Inc.	42.21	2132535899.34	n/a	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/achc
ACAD	ACADIA Pharmaceuticals Inc.	21	1864459086	n/a	1985	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acad
ACST	Acasti Pharma, Inc.	1.9	162614137.2	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acst
AXDX	Accelerate Diagnostics, Inc.	13.21	546798504.91	n/a	n/a	Capital Goods	Biotechnology: Laboratory Analytical Instruments	http://www.nasdaq.com/symbol/axdx
XLRN	Acceleron Pharma Inc.	19.53	548535868.02	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/xlrn
ACCL	Accelrys, Inc.	9.25	514905357	n/a	1995	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/accl
ANCX	Access National Corporation	14.12	145555779.96	n/a	n/a	Finance	Savings Institutions	http://www.nasdaq.com/symbol/ancx
ARAY	Accuray Incorporated	6.91	517354104.68	n/a	2007	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/aray
ACRX	AcelRx Pharmaceuticals, Inc.	6.865	289153003.66	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acrx
ACET	Aceto Corporation	16.51	464515041.25	n/a	n/a	Consumer Durables	Specialty Chemicals	http://www.nasdaq.com/symbol/acet
ACHN	Achillion Pharmaceuticals, Inc.	2.47	238707133.08	n/a	2006	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/achn
ACIW	ACI Worldwide, Inc.	52.73	2085150848.87	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/aciw
ACNB	ACNB Corporation	17.5301	104946765.9961	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/acnb
ACOR	Acorda Therapeutics, Inc.	32.55	1324574010.9	n/a	2006	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/acor
ACFN	Acorn Energy, Inc.	3.63	80316011.49	n/a	n/a	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/acfn
ACTS	Actions Semiconductor Co., Ltd.	2.45	210700000	n/a	2005	Technology	Semiconductors	http://www.nasdaq.com/symbol/acts
ACPW	Active Power, Inc.	2.9	56112210.2	n/a	2000	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/acpw
ATVI	Activision Blizzard, Inc	16.53	11493172544.85	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/atvi
BIRT	Actuate Corporation	7.76	372009286.16	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/birt
ACUR	Acura Pharmaceuticals, Inc.	1.66	77182772.36	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acur
ACXM	Acxiom Corporation	32.63	2416584130.22	n/a	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/acxm
ADUS	Addus HomeCare Corporation	24.58	268221212.34	n/a	2009	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/adus
AEY	ADDvantage Technologies Group, Inc.	2.57	25696093.6	n/a	n/a	Consumer Services	Office Equipment/Supplies/Services	http://www.nasdaq.com/symbol/aey
ADEP	Adept Technology, Inc.	8.11	88770210.92	n/a	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/adep
ADBE	Adobe Systems Incorporated	54.88	27433816396	n/a	1986	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/adbe
ADTN	ADTRAN, Inc.	23.61	1362048740.85	n/a	1994	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/adtn
ADES	Advanced Emissions Solutions, Inc.	40.04	404734930.6	n/a	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/ades
AEIS	Advanced Energy Industries, Inc.	24.055	957439202.785	n/a	1995	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aeis
ADXS	Advaxis, Inc.	3.79	19041266.99	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/adxs
ADXSW	Advaxis, Inc.	1.42	0	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/adxsw
ADVS	Advent Software, Inc.	33.54	1752670600.2	n/a	1995	Technology	EDP Services	http://www.nasdaq.com/symbol/advs
AEGR	Aegerion Pharmaceuticals, Inc.	75.41	2184564053.96	n/a	2010	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/aegr
AEGN	Aegion Corp	20.78	803590133.5	n/a	2000	Basic Industries	Water Supply	http://www.nasdaq.com/symbol/aegn
AEHR	Aehr Test Systems	2.45	26236854	n/a	1997	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/aehr
AEPI	AEP Industries Inc.	55.79	312494630.14	n/a	1986	Capital Goods	Specialty Chemicals	http://www.nasdaq.com/symbol/aepi
AERI	Aerie Pharmaceuticals, Inc.	10.93	242708486.81	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aeri
AVAV	AeroVironment, Inc.	28.25	640576575.25	n/a	2007	Capital Goods	Aerospace	http://www.nasdaq.com/symbol/avav
AEZS	AEterna Zentaris Inc.	1.41	44448590.43	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/aezs
ATRM	Aetrium Incorporated	3.58	3859759.1	n/a	1993	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/atrm
AFCE	AFC Enterprises, Inc.	43.24	1031814543.24	n/a	n/a	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/afce
AFFX	Affymetrix, Inc.	7.66	550885269.42	n/a	1996	Capital Goods	Biotechnology: Laboratory Analytical Instruments	http://www.nasdaq.com/symbol/affx
AGEN	Agenus Inc.	2.4	71381980.8	n/a	2000	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/agen
