Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TENZ/GSPTSE,,,N/A
$DXY,80.0500,,N/A
PAF4,,,N/A
$DJI,16504.290,,N/A
SIH4,,,N/A
UJTHR,,,N/A
GSPC,,,N/A
HGF4,,,N/A
$GSPTSE,,,N/A
GCG4,,,N/A
IXIC,,,N/A
DJIA,,,N/A
MQL/V,,,N/A
ASM/V,,,N/A
COMP,4154.199,,N/A
PLF4,,,N/A
EBIO,,,N/A
IMMU,4.670,+11.99%,Range Bound
ONVO,10.460,+6.63%,Range Bound
MRVL,14.580,+5.96%,Range Bound
URG,1.480,+4.23%,N/A
NQ,14.460,+4.03%,Uptrend
CANF,5.760,+3.97%,N/A
HTZ,26.900,+3.82%,Range Bound
PERI,12.370,+3.17%,Uptrend
CHNR,3.340,+3.09%,N/A
DRYS,4.500,+2.74%,Uptrend
LODE,1.700,+2.41%,Range Bound
TWTR,61.850,+2.21%,Uptrend
EGLE,4.250,+2.16%,Range Bound
FB,54.360,+1.21%,Uptrend
PSX,75.500,+1.04%,Range Bound
BBRY,7.330,+0.96%,Uptrend
REI,12.160,+0.83%,N/A
MCP,5.420,+0.74%,Uptrend
DDD,92.500,+0.60%,Uptrend
RDS/A,71.160,+0.52%,Range Bound
BAA,.555,+0.36%,Range Bound
FAS,89.720,+0.36%,Range Bound
JNPR,22.600,+0.31%,Range Bound
WLT,16.830,+0.30%,Uptrend
ACTG,14.600,+0.27%,Range Bound
EEM,41.580,+0.24%,Range Bound
UTX,112.990,+0.23%,Range Bound
IWM,115.350,+0.23%,Range Bound
BRK/B,118.260,+0.19%,Range Bound
MMM,139.660,+0.17%,Range Bound
QQQ,87.520,+0.15%,Range Bound
IVV,185.140,+0.14%,Range Bound
XLF,21.780,+0.14%,Range Bound
SPY,184.070,+0.14%,Range Bound
SOXX,72.120,+0.12%,Range Bound
GOOG,1110.760,+0.12%,Range Bound
VNR,29.330,+0.03%,Range Bound
XLV,55.480,+0.02%,Range Bound
IVAN,.5801,+0.02%,Uptrend
PNR,77.390,0.00%,Range Bound
WIBC,10.930,0.00%,Range Bound
SPX,1841.070,0.00%,Range Bound
MFC,19.750,0.00%,Range Bound
KGC,4.280,0.00%,Range Bound
SGY,33.800,0.00%,Range Bound
HSIC,114.500,0.00%,Range Bound
REV,24.560,0.00%,Range Bound
IEI,120.170,0.00%,Range Bound
EXI,71.060,0.00%,N/A
CROX,16.140,0.00%,Uptrend
TUZ,50.850,0.00%,N/A
SHY,84.400,0.00%,Range Bound
NDAQ,39.830,0.00%,Range Bound
ASM,1.120,0.00%,N/A
VIS,99.510,0.00%,Range Bound
XLP,42.950,0.00%,Range Bound
XLK,35.510,0.00%,Range Bound
NYT,16.090,0.00%,Uptrend
XLI,51.950,0.00%,Range Bound
BCOR,29.140,0.00%,Range Bound
XSD,60.760,0.00%,Range Bound
XLE,87.660,0.00%,Range Bound
VDC,110.150,0.00%,Range Bound
IGM,88.940,0.00%,N/A
SSN,.4121,0.00%,Range Bound
XRT,88.010,0.00%,Range Bound
IGV,81.840,0.00%,Range Bound
MTL,2.580,0.00%,Uptrend
HON,91.000,0.00%,Range Bound
DEI,23.550,0.00%,Range Bound
IDIX,6.260,0.00%,Uptrend
SCHR,52.160,0.00%,N/A
BRK/A,177069.200,0.00%,N/A
GIG,1.540,0.00%,N/A
ASTI,.720,0.00%,Range Bound
PTC,34.300,0.00%,Range Bound
BA,135.920,0.00%,Range Bound
GAI,6.300,0.00%,N/A
SFE,18.730,0.00%,Range Bound
FCX,37.670,0.00%,Range Bound
XON,22.500,0.00%,Range Bound
IBB,226.840,0.00%,Range Bound
RTH,60.680,0.00%,Range Bound
XRTX,13.280,0.00%,Uptrend
PMR,34.774,0.00%,N/A
ZNGA,3.880,0.00%,Range Bound
VHT,101.090,0.00%,Range Bound
FIVZ,78.530,0.00%,N/A
IYW,87.780,0.00%,Range Bound
VGIT,62.810,0.00%,N/A
IYK,95.610,0.00%,N/A
KNDI,11.950,0.00%,Uptrend
IYJ,100.940,0.00%,Range Bound
IYH,116.540,0.00%,Range Bound
SM,83.290,0.00%,Range Bound
IPK,32.029,0.00%,N/A
IYE,50.080,0.00%,Range Bound
SOQ,.6000,0.00%,N/A
RY,67.160,0.00%,Range Bound
GPT,5.760,0.00%,Range Bound
CBU,39.690,0.00%,Range Bound
VGSH,60.860,0.00%,N/A
/ZB[H4],128'23,-0.05%,N/A
/ZN[H4],123'042,-0.08%,N/A
IEF,99.590,-0.10%,Range Bound
JCP,8.990,-0.11%,Uptrend
GOLD,61.550,-0.11%,Range Bound
PFE,30.630,-0.20%,Range Bound
HAE,42.430,-0.26%,Range Bound
FAZ,21.690,-0.28%,Range Bound
NFLX,365.500,-0.41%,Range Bound
ALU,4.440,-0.67%,Range Bound
ABX,16.980,-0.76%,Uptrend
USO,35.250,-0.79%,Range Bound
GLD,114.470,-0.80%,Range Bound
CTB,24.000,-0.83%,Range Bound
VXX,42.210,-0.85%,Range Bound
UNG,21.100,-2.18%,Range Bound
SLV,18.200,-3.45%,Range Bound
UNXL,9.880,-16.20%,Range Bound
