SRT,"StarTek, Inc.",nyse,Technology,Professional Services,96373903.64,TRUE,TRUE
HOT,"Starwood Hotels & Resorts Worldwide, Inc.",nyse,Consumer Services,Hotels/Resorts,14317426429,TRUE,TRUE
STWD,"STARWOOD PROPERTY TRUST, INC.",nyse,Consumer Services,Real Estate Investment Trusts,4335052959,TRUE,TRUE
STT,State Street Corporation,nyse,Finance,Major Banks,31744303403,TRUE,TRUE
STO,Statoil ASA,nyse,Energy,Integrated oil Companies,75794141638,TRUE,TRUE
SPLP,Steel Partners Holdings LP,nyse,Capital Goods,Industrial Specialties,442454659,TRUE,TRUE
SCS,Steelcase Inc.,nyse,Consumer Durables,Office Equipment/Supplies/Services,1958649549,TRUE,TRUE
SCL,Stepan Company,nyse,Basic Industries,Package Goods/Cosmetics,1296490495,TRUE,TRUE
STE,STERIS Corporation,nyse,Health Care,Industrial Specialties,2671293477,TRUE,TRUE
STC,Stewart Information Services Corporation,nyse,Finance,Specialty Insurers,667166381.3,TRUE,TRUE
SF,Stifel Financial Corporation,nyse,Finance,Investment Bankers/Brokers/Service,2677073137,TRUE,TRUE
SFN,Stifel Financial Corporation,nyse,Finance,Investment Bankers/Brokers/Service,1260042679,TRUE,TRUE
SWC,Stillwater Mining Company,nyse,Basic Industries,Precious Metals,1302902441,TRUE,TRUE
STM,STMicroelectronics N.V.,nyse,Technology,Semiconductors,6804077231,TRUE,TRUE
SGY,Stone Energy Corporation,nyse,Energy,Oil & Gas Production,1633307331,TRUE,TRUE
SGM,Stonegate Mortgage Corporation,nyse,Finance,Finance: Consumer Services,435041596,TRUE,TRUE
STON,StoneMor Partners L.P.,nyse,Consumer Services,Other Consumer Services,528418341,TRUE,TRUE
SRI,"Stoneridge, Inc.",nyse,Capital Goods,Auto Parts:O.E.M.,350630235.5,TRUE,TRUE
STRI,"STR Holdings, Inc",nyse,Capital Goods,Specialty Chemicals,92924566.86,TRUE,TRUE
BEE,Strategic Hotels & Resorts Inc,nyse,Consumer Services,Real Estate Investment Trusts,1738758835,TRUE,TRUE
SYK,Stryker Corporation,nyse,Health Care,Medical/Dental Instruments,27893260436,TRUE,TRUE
RGR,"Sturm, Ruger & Company, Inc.",nyse,Capital Goods,Ordnance And Accessories,1420623627,TRUE,TRUE
SPH,"Suburban Propane Partners, L.P.",nyse,Consumer Services,Other Specialty Stores,2767012140,TRUE,TRUE
SMFG,Sumitomo Mitsui Financial Group Inc,nyse,Finance,Commercial Banks,66111825056,TRUE,TRUE
INN,"Summit Hotel Properties, Inc.",nyse,Consumer Services,Real Estate Investment Trusts,729991596,TRUE,TRUE
