Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
DCIN,5.150,,N/A
TENZ/GSPTSE,,,N/A
$DXY,79.9990,,N/A
$DJI,15755.360,,N/A
GES/V,,,N/A
JYN,56.600,,N/A
GSPC,,,N/A
$GSPTSE,,,N/A
MTSI,14.410,,N/A
COMP,4000.975,,N/A
PATH,3.400,+47.83%,Uptrend
SLTM,2.910,+39.23%,N/A
LSI,10.980,+38.81%,Range Bound
AGEN,3.300,+35.25%,Range Bound
AER,33.700,+35.18%,Uptrend
BLRX,3.330,+30.59%,N/A
BRD,.770,+28.33%,N/A
HNR,4.800,+21.83%,Uptrend
AVGO,52.750,+15.55%,Range Bound
APRI,1.850,+7.56%,Range Bound
TI,9.570,+6.69%,Range Bound
ACRX,8.620,+5.12%,Range Bound
S,8.780,+4.15%,Range Bound
NWBO,3.600,+4.05%,Downtrend
LITB,6.600,+3.94%,Downtrend
YGE,4.370,+3.80%,Downtrend
TOT,57.780,+2.21%,Range Bound
CSIQ,28.280,+2.13%,Downtrend
MNST,62.630,+1.90%,Range Bound
AIG,50.650,+1.85%,Range Bound
BBRY,6.190,+1.81%,Range Bound
HK,3.850,+1.58%,Range Bound
EBAY,52.330,+1.51%,Range Bound
KTOS,6.830,+1.49%,Range Bound
RIO,52.350,+1.10%,Range Bound
TIF,90.100,+0.88%,Range Bound
USO,34.940,+0.87%,Range Bound
GSK,51.810,+0.86%,Range Bound
ENDP,64.250,+0.61%,Range Bound
KKD,18.150,+0.61%,Downtrend
ZMH,91.010,+0.55%,Range Bound
DRI,51.910,+0.54%,Range Bound
NKE,76.740,+0.45%,Range Bound
AFSI,33.750,+0.33%,Downtrend
WILN,3.140,+0.32%,Range Bound
FXE,136.150,+0.24%,Range Bound
UDN,27.070,+0.15%,Range Bound
/ZB[H4],129'27,+0.14%,N/A
/ZN[H4],124'130,+0.11%,N/A
CAG,31.680,+0.03%,Range Bound
WAG,57.020,+0.02%,Range Bound
ORBK,13.880,0.00%,Range Bound
APP,1.050,0.00%,Downtrend
DQ,31.650,0.00%,N/A
IEI,120.870,0.00%,Range Bound
IEF,100.660,0.00%,Range Bound
COV,65.810,0.00%,Range Bound
CGX,65.150,0.00%,Range Bound
DSGX,12.920,0.00%,N/A
BKS,14.080,0.00%,Downtrend
TUZ,50.860,0.00%,N/A
SHY,84.470,0.00%,Range Bound
NDAQ,38.550,0.00%,Range Bound
ENSG,44.500,0.00%,Range Bound
VRX,106.830,0.00%,Range Bound
BLK,297.800,0.00%,Range Bound
EUO,17.120,0.00%,Range Bound
IVAN,.420,0.00%,Downtrend
NVGS,23.470,0.00%,N/A
KMX,50.950,0.00%,Range Bound
HAFC,19.250,0.00%,Range Bound
TRQ,3.210,0.00%,Downtrend
PIR,20.870,0.00%,Range Bound
PIP,2.000,0.00%,Range Bound
UDNT,17.660,0.00%,N/A
LLEN,1.680,0.00%,Range Bound
RHT,46.770,0.00%,Range Bound
RRD,19.000,0.00%,Range Bound
MRGE,2.1900,0.00%,Range Bound
AEP,45.800,0.00%,Range Bound
SCHR,52.520,0.00%,N/A
SCHW,24.790,0.00%,Range Bound
AVEO,1.710,0.00%,Downtrend
RBA,21.950,0.00%,Range Bound
LMT,139.030,0.00%,Range Bound
WOR,40.440,0.00%,Range Bound
EPV,17.240,0.00%,Range Bound
CHH,46.990,0.00%,Range Bound
TIBX,24.030,0.00%,Range Bound
FIVZ,79.004,0.00%,N/A
VGIT,63.420,0.00%,N/A
EBS,22.940,0.00%,Range Bound
UUPT,19.330,0.00%,N/A
RENT,34.690,0.00%,Range Bound
FINL,25.010,0.00%,Range Bound
AOL,44.370,0.00%,Range Bound
RY,64.400,0.00%,Range Bound
VGSH,60.940,0.00%,N/A
UUP,21.550,-0.14%,Range Bound
PNC,75.220,-0.21%,Range Bound
NAV,39.980,-0.25%,Range Bound
/DX[H4],80.1400,-0.29%,N/A
TMUS,27.450,-0.69%,Range Bound
ATHN,130.300,-0.77%,Range Bound
JAZZ,113.490,-0.91%,Range Bound
TWTR,58.270,-1.24%,Uptrend
UNG,20.630,-3.64%,Uptrend
PPP,4.690,-4.48%,Range Bound
USU,3.500,-60.27%,Range Bound
