Post-market Movers

Post-market Movers
Symbol,Mark,Mark %Change,Strength Meter
$GSPTSE,,,N/A
GLBZ,12.144,,N/A
$DJI,15739.430,,N/A
COMP,3998.403,,N/A
CQH,,,N/A
NLP,7.000,+47.99%,N/A
GNVC,2.350,+35.06%,N/A
UNS,58.510,+27.64%,Uptrend
CNDO,2.200,+22.22%,Uptrend
ADBE,58.000,+6.15%,Range Bound
TSLA,147.200,+5.41%,Uptrend
FB,51.810,+4.92%,Uptrend
ZQK,7.730,+2.66%,Downtrend
NFLX,373.500,+2.62%,Uptrend
RGDX,1.320,+2.33%,N/A
CMLS,6.840,+2.09%,Range Bound
CXO,99.780,+1.69%,Range Bound
MLVF,11.400,+1.60%,N/A
IILG,28.610,+1.45%,Uptrend
HLX,21.830,+0.97%,Range Bound
AWK,40.750,+0.97%,Range Bound
XLNX,43.410,+0.81%,Range Bound
UNG,21.370,+0.75%,Uptrend
WAC,38.090,+0.71%,Range Bound
XEL,27.780,+0.65%,Range Bound
STRM,6.470,+0.47%,Range Bound
PCC,8.790,+0.46%,N/A
INDB,36.130,+0.33%,Range Bound
BA,132.960,+0.30%,Range Bound
PGC,17.800,+0.23%,N/A
BAC,15.270,+0.13%,Range Bound
CSTM,21.070,0.00%,Range Bound
USO,34.970,-0.03%,Range Bound
BRK/A,171500.000,-0.08%,N/A
RAS,8.500,-0.12%,Range Bound
BRK/B,114.360,-0.13%,Range Bound
SLH,67.960,-0.15%,Range Bound
FSRV,40.600,-0.15%,N/A
AIF,17.510,-0.23%,N/A
COO,119.550,-0.28%,Range Bound
SPX,1775.500,-0.38%,Range Bound
AMGN,112.600,-0.40%,Range Bound
HIG,35.100,-0.48%,Range Bound
GDX,21.070,-0.57%,Downtrend
CUBE,15.120,-0.66%,Range Bound
JWN,60.370,-0.69%,Range Bound
CLF,23.790,-0.92%,Downtrend
DGX,54.520,-1.23%,Downtrend
MEI,33.680,-1.38%,Uptrend
BSTC,21.500,-1.60%,N/A
INTC,24.000,-1.72%,Range Bound
GLD,118.290,-2.13%,Range Bound
SAIC,34.770,-2.47%,Range Bound
ATHN,126.600,-3.25%,Range Bound
NSYS,5.750,-3.36%,N/A
CQP,28.580,-3.48%,Range Bound
TCPC,15.950,-3.74%,Range Bound
SLV,18.810,-3.79%,Range Bound
UVE,11.900,-4.19%,Uptrend
BIND,11.770,-7.32%,N/A
XOMA,5.150,-8.36%,Uptrend
IAG,3.420,-10.94%,Downtrend
RH,57.500,-12.93%,Downtrend
SIGM,4.490,-16.07%,Downtrend
IMUC,1.100,-59.56%,Downtrend
