Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
"FCO","Aberdeen Global Income Fund, Inc.","8.62","$75.38M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"BZM","BlackRock Maryland Municipal Bond Trust","14.3","$29.73M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","13.68","$32.38M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLE","BlackRock Municipal Income Trust II","15","$352.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ble",
"BLJ","Blackrock New Jersey Municipal Bond Trust","15.03","$34.97M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"CCA","MFS California Insured Municipal Trust","11.44","$31.87M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cca",
