Symbol,Mark,Mark %Change,Volume,Market Cap
GPR,.0400,,0,0
GRC,29.260,+0.55%,"35,089",768 M
GRF,7.980,+3.23%,600,25 M
GRH,1.140,-6.56%,"59,864",40 M
GRZ,2.850,,0,0
GSB,2.450,0.00%,"11,248",50 M
GSS,.2990,-6.56%,"1,302,682",78 M
GST,3.780,-2.33%,"924,695",298 M
GSX,.024,0.00%,0,0
GTE,4.630,-3.54%,"810,959","1,274 M"
GTU,41.640,-0.17%,"35,087",804 M
GV,1.920,+1.05%,"9,357",49 M
GVP,1.500,+0.67%,"7,264",27 M
HBP,3.570,+1.71%,"2,400",87 M
HDY,1.670,-2.91%,"22,512",35 M
HEB,.28560,+0.92%,"1,140,323",56 M
HH,.5626,+1.37%,"75,132",40 M
HKN,1.970,,0,0
HLMp,31.010,-0.01%,"1,050",131 M
HMG,13.750,-3.51%,323,14 M
HNB,2.640,,0,0
HNW,20.220,-0.54%,"15,398",168 M
HQS,2.450,,0,0
HRT,6.360,0.00%,"2,611",17 M
HTM,.53740,+0.64%,"61,500",56 M
HUSA,.2500,0.00%,"97,477",13 M
HWG,12.340,,0,19 M
IAF,7.892,-0.35%,"11,907",180 M
IBIO,1.4200,-5.33%,"3,467,215",93 M
ICH,7.050,,0,0
IDI,.5604,+4.47%,"3,200",20 M
IDI.UN,3.500,,0,0
IDN,3.650,0.00%,"5,034",18 M
IEC,4.750,-1.25%,872,48 M
IF,9.130,-1.24%,"13,472",87 M
IG,9.000,-4.15%,"335,984",473 M
IGC,.7701,+1.33%,"6,728",9.7 M
IGC/U,.0001,,0,0
IGC/WS,.0110,+0.92%,0,0.09 M
IHT,2.370,,600,20 M
IIG,0,,0,0
IMH,5.720,+1.24%,623,54 M
IMO,45.390,-1.05%,"166,448","38,473 M"
INFU,4.290,+7.52%,"627,741",96 M
INO,11.260,-0.44%,"344,445",680 M
INS,1.210,+2.54%,"1,602",11 M
INUV,1.3900,-4.14%,"132,012",33 M
INV,.142,,0,0
IOT,6.220,-7.16%,"3,958",26 M
IPB,27.170,,0,41 M
IPT,.4425,,0,0
ISL,16.600,-3.21%,"1,263",69 M
ISR,1.8100,-4.23%,"1,479,971",99 M
ITI,1.800,-0.06%,"10,795",59 M
IVD,.500,,0,0
JFP,2.570,,0,36 M
JOB,.16990,+9.61%,"6,100",4.4 M
JRS,10.938,-0.66%,"41,523",316 M
KAD,.0310,,0,0
