"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
PEEKAY BOUTIQUES, INC.	PKAY	OTCBB	$1	4,175,000	$4,175,000	2/19/2016
PROTEOSTASIS THERAPEUTICS, INC.	PTI	NASDAQ	$8	6,250,000	$50,000,000	2/11/2016
AVEXIS, INC.	AVXS	NASDAQ	$20	4,750,000	$95,000,000	2/11/2016
BEIGENE, LTD.	BGNE	NASDAQ	$24	6,600,000	$158,400,000	2/3/2016
EDITAS MEDICINE, INC.	EDIT	NASDAQ	$16	5,900,000	$94,400,000	2/3/2016
