S&P 500

S&P 500
Symbol,Last,Mark,Mark %Change,Volume
TIF,95.848,95.848,+8.63%,"3,734,549"
TJX,55.66,55.660,+3.17%,"4,356,825"
NFLX,382.75,382.750,+2.98%,"3,443,107"
CBS,58.52,58.520,+2.50%,"5,131,695"
AKAM,53.39,53.390,+2.20%,"1,246,528"
THC,46.89,46.890,+2.16%,"842,665"
ESV,50.6992,50.699,+2.11%,"1,163,772"
JCI,47.64,47.640,+2.06%,"2,290,651"
MA,75.00,75.000,+1.83%,"1,551,037"
GME,37.08,37.080,+1.78%,"1,185,142"
WPX,21.395,21.395,+1.78%,"1,041,581"
FSLR,59.66,59.660,+1.76%,"1,395,731"
ICE,191.165,191.165,+1.75%,"286,501"
INTU,78.15,78.150,+1.70%,"2,222,851"
MU,27.00,27.000,+1.69%,"10,402,840"
RDC,30.14,30.140,+1.69%,"931,188"
VRTX,66.55,66.550,+1.62%,"408,606"
AIG,53.329,53.329,+1.60%,"5,135,607"
DHR,75.99,75.990,+1.59%,"1,537,816"
STT,64.21,64.210,+1.55%,"827,667"
NTAP,34.47,34.470,+1.53%,"1,620,765"
GS,158.74,158.740,+1.53%,"1,222,165"
NDAQ,36.28,36.280,+1.48%,"401,231"
CME,69.49,69.490,+1.42%,"311,617"
RIG,41.86,41.860,+1.38%,"1,664,266"
DISCA,74.74,74.740,+1.37%,"1,572,361"
PXD,203.515,203.515,+1.37%,"286,945"
AMP,109.88,109.880,+1.37%,"351,702"
MUR,61.26,61.260,+1.36%,"469,290"
RRC,89.78,89.780,+1.35%,"356,462"
NFX,35.43,35.430,+1.34%,"1,089,767"
PCG,44.21,44.210,+1.33%,"1,557,414"
MCK,182.23,182.230,+1.33%,"494,338"
ADS,241.132,241.132,+1.30%,"194,131"
FITB,20.32,20.320,+1.30%,"2,311,535"
OXY,96.69,96.690,+1.29%,"1,488,013"
WFC,49.59,49.590,+1.29%,"5,904,429"
BBY,24.975,24.975,+1.28%,"3,596,744"
CAH,67.04,67.040,+1.27%,"711,579"
EOG,103.17,103.170,+1.26%,"633,263"
SNA,114.67,114.670,+1.25%,"91,617"
MRO,35.84,35.840,+1.24%,"1,848,173"
NE,30.34,30.340,+1.23%,"1,027,219"
PCLN,1164.3983,1164.398,+1.23%,"262,569"
FDX,139.11,139.110,+1.20%,"584,154"
CMG,501.507,501.507,+1.18%,"209,286"
SNDK,92.44,92.440,+1.17%,"1,325,113"
SCHW,25.10,25.100,+1.17%,"2,216,566"
MSFT,40.14,40.140,+1.16%,"8,727,395"
DVA,68.30,68.300,+1.16%,"206,009"
MCO,81.65,81.650,+1.15%,"283,651"
JNPR,24.59,24.590,+1.15%,"2,774,020"
APD,118.09,118.090,+1.15%,"197,059"
UTX,114.38,114.380,+1.13%,"1,446,511"
ETFC,19.99,19.990,+1.11%,"1,689,909"
UNH,77.51,77.510,+1.11%,"799,532"
HRB,28.69,28.690,+1.09%,"700,579"
YHOO,34.2397,34.240,+1.09%,"6,081,259"
BEN,54.58,54.580,+1.07%,"698,638"
LRCX,59.47,59.470,+1.07%,"810,757"
BLK,299.60,299.600,+1.07%,"170,705"
V,210.14,210.140,+1.07%,"914,015"
CSX,29.51,29.510,+1.06%,"2,967,051"
AON,87.94,87.940,+1.06%,"764,057"
PFE,29.557,29.557,+1.05%,"9,451,845"
COF,76.27,76.270,+1.05%,"859,992"
GOOG,535.278,535.278,+1.04%,"534,229"
WY,30.20,30.200,+1.04%,"1,413,497"
