S&P 500

S&P 500
Symbol,Last,Mark,Mark %Change,Volume
SLB,101.43,101.430,+1.04%,"1,866,184"
XYL,37.665,37.665,+1.03%,"1,159,255"
IFF,97.94,97.940,+1.03%,"90,733"
BSX,12.75,12.750,+1.03%,"3,552,607"
CVX,123.76,123.760,+1.03%,"1,768,286"
ESRX,69.85,69.850,+1.03%,"2,665,614"
ACN,79.20,79.200,+1.02%,"812,875"
PNC,83.47,83.470,+1.02%,"661,925"
CHK,28.30,28.300,+1.00%,"2,534,443"
SE,40.085,40.085,+1.00%,"846,582"
HES,88.89,88.890,+0.98%,"568,456"
TRIP,86.68,86.680,+0.94%,"578,749"
BWA,59.94,59.940,+0.93%,"606,888"
DIS,81.835,81.835,+0.92%,"1,796,249"
MHFI,78.28,78.280,+0.92%,"241,112"
IBM,186.58,186.580,+0.91%,"1,482,091"
SIAL,96.63,96.630,+0.91%,"143,307"
MET,49.9899,49.990,+0.91%,"1,843,537"
ROST,67.719,67.719,+0.91%,"834,689"
SWK,85.638,85.638,+0.90%,"386,966"
CSCO,24.335,24.335,+0.89%,"24,516,720"
ADBE,62.26,62.260,+0.89%,"542,984"
IVZ,35.25,35.250,+0.89%,"1,088,651"
FOXA,34.39,34.390,+0.88%,"2,952,829"
AMZN,303.84,303.840,+0.88%,"1,904,740"
APC,99.90,99.900,+0.88%,"860,196"
COV,71.27,71.270,+0.88%,"406,469"
ADM,43.71,43.710,+0.88%,"749,654"
ABC,70.40,70.400,+0.87%,"782,428"
BA,130.71,130.710,+0.87%,"1,143,415"
PNR,73.65,73.650,+0.86%,"371,275"
WYN,71.21,71.210,+0.85%,"209,880"
JPM,54.175,54.175,+0.85%,"5,905,079"
VRSN,48.99,48.990,+0.84%,"257,383"
MSI,67.08,67.080,+0.84%,"293,041"
CAM,64.05,64.040,+0.83%,"827,165"
MRK,56.465,56.465,+0.83%,"2,560,912"
NOV,82.75,82.750,+0.83%,"1,418,379"
VZ,49.05,49.050,+0.82%,"6,143,902"
HAR,104.34,104.340,+0.82%,"307,426"
CMCSA,51.065,51.065,+0.82%,"4,994,715"
BF/B,91.13,91.130,+0.82%,"62,532"
FB,59.038,59.038,+0.82%,"27,823,942"
AXP,87.80,87.800,+0.82%,"830,107"
KSU,105.86,105.860,+0.81%,"344,889"
IPG,18.075,18.075,+0.81%,"2,920,201"
NBR,25.18,25.180,+0.80%,"776,029"
LNC,47.93,47.930,+0.80%,"501,685"
CTAS,61.10,61.100,+0.79%,"118,546"
ROP,139.42,139.420,+0.79%,"94,753"
RHT,50.12,50.120,+0.78%,"557,446"
FMC,74.1832,74.183,+0.78%,"383,373"
STI,37.9899,37.990,+0.77%,"1,159,963"
AMGN,113.07,113.070,+0.76%,"1,148,333"
PCP,245.00,245.000,+0.76%,"175,701"
NKE,73.81,73.810,+0.75%,"967,069"
JNJ,101.00,101.000,+0.75%,"2,012,624"
GCI,27.27,27.270,+0.74%,"300,761"
PRU,80.93,80.900,+0.73%,"760,876"
BIIB,291.90,291.900,+0.73%,"415,319"
RHI,44.32,44.320,+0.73%,"178,246"
EA,34.63,34.630,+0.73%,"866,676"
PFG,45.73,45.730,+0.73%,"237,674"
NWSA,16.87,16.870,+0.72%,"1,526,320"
COG,36.58,36.580,+0.72%,"2,682,130"
AZO,532.47,532.470,+0.71%,"47,222"
CAG,31.48,31.480,+0.70%,"617,593"
TWC,138.815,138.820,+0.70%,"463,383"
TROW,80.17,80.170,+0.70%,"249,271"
RF,10.05,10.050,+0.70%,"3,273,883"
GD,113.87,113.870,+0.70%,"545,967"
ECL,107.415,107.415,+0.70%,"267,541"
CTSH,47.64,47.640,+0.70%,"1,000,684"
HON,90.99,90.990,+0.70%,"887,740"
UPS,101.23,101.230,+0.70%,"618,417"
GM,33.30,33.300,+0.70%,"6,604,985"
HSP,47.89,47.890,+0.69%,"174,845"
LH,100.23,100.230,+0.69%,"127,765"
MDT,59.82,59.820,+0.69%,"1,459,952"
DLPH,67.34,67.340,+0.69%,"326,344"
XOM,101.36,101.360,+0.69%,"2,428,708"
SYMC,22.24,22.240,+0.68%,"3,593,096"
EQT,103.82,103.820,+0.68%,"191,735"
VIAB,83.85,83.850,+0.67%,"777,043"
A,54.675,54.675,+0.67%,"239,463"
WMB,46.64,46.640,+0.67%,"1,392,173"
UNM,33.10,33.110,+0.67%,"408,681"
WLP,106.69,106.700,+0.66%,"380,365"
DFS,56.74,56.740,+0.66%,"406,716"
LLTC,45.0233,45.023,+0.66%,"1,355,706"
UNP,195.14,195.140,+0.66%,"662,788"
AGN,162.95,162.950,+0.65%,"1,254,296"
DRI,48.29,48.290,+0.65%,"447,678"
PKI,43.68,43.680,+0.65%,"666,303"
PBI,26.58,26.580,+0.64%,"561,385"
CTXS,61.37,61.370,+0.64%,"804,095"
HRS,75.72,75.720,+0.64%,"129,612"
MO,40.285,40.285,+0.64%,"2,012,638"
PCAR,61.80,61.800,+0.64%,"453,893"
PM,85.76,85.760,+0.63%,"1,368,557"
FTI,55.87,55.870,+0.63%,"223,060"
EXPE,70.62,70.620,+0.63%,"420,073"
HOT,77.12,77.120,+0.63%,"451,030"
CI,88.94,88.940,+0.62%,"400,184"
LYB,97.60,97.600,+0.62%,"1,240,402"
PDCO,40.91,40.910,+0.61%,"328,667"
WYNN,201.42,201.420,+0.61%,"386,946"
MS,29.8906,29.891,+0.61%,"3,147,260"
DTV,83.49,83.490,+0.60%,"10,626,117"
GRMN,55.40,55.400,+0.58%,"489,466"
CAT,102.15,102.150,+0.58%,"2,636,348"
BDX,116.06,116.060,+0.58%,"180,548"
CVS,76.37,76.370,+0.58%,"1,370,587"
CCI,76.38,76.380,+0.58%,"553,841"
GPC,84.21,84.210,+0.57%,"146,705"
GLW,21.19,21.190,+0.57%,"2,676,392"
NOC,118.35,118.350,+0.57%,"489,177"
STZ,82.34,82.330,+0.56%,"197,907"
NBL,69.725,69.725,+0.56%,"792,138"
DAL,38.04,38.040,+0.56%,"3,206,548"
ETN,72.49,72.490,+0.55%,"764,694"
HUM,122.00,122.000,+0.55%,"230,905"
MMC,49.37,49.370,+0.55%,"659,319"
FLR,73.38,73.380,+0.55%,"271,234"
DO,49.93,49.930,+0.54%,"328,080"
KO,40.80,40.800,+0.54%,"3,294,478"
XRAY,46.61,46.610,+0.54%,"117,865"
KMB,110.14,110.140,+0.53%,"349,127"
AET,75.608,75.608,+0.53%,"558,528"
DGX,57.51,57.510,+0.52%,"264,549"
SJM,98.58,98.580,+0.52%,"171,023"
MCD,102.05,102.050,+0.51%,"1,062,310"
DG,55.00,55.000,+0.51%,"1,982,671"
KORS,92.326,92.326,+0.51%,"967,883"
C,46.785,46.785,+0.50%,"5,961,980"
DNB,103.67,103.670,+0.50%,"97,567"
HP,105.365,105.365,+0.49%,"230,710"
AFL,61.89,61.890,+0.49%,"432,098"
F,15.845,15.845,+0.48%,"7,715,447"
WFM,37.3551,37.355,+0.47%,"2,176,169"
AN,55.68,55.680,+0.47%,"380,016"
GWW,250.93,250.990,+0.46%,"181,338"
OKE,63.50,63.500,+0.46%,"259,738"
COL,76.41,76.410,+0.45%,"245,642"
AME,51.86,51.860,+0.45%,"126,755"
HBAN,9.06,9.060,+0.44%,"2,738,306"
SRE,97.5904,97.590,+0.44%,"367,474"
MCHP,46.20,46.200,+0.43%,"355,374"
STX,51.09,51.090,+0.43%,"752,317"
SNI,74.34,74.340,+0.43%,"175,100"
MON,116.40,116.400,+0.43%,"586,439"
BBT,37.25,37.250,+0.43%,"705,577"
ALL,58.33,58.330,+0.43%,"624,859"
EMN,85.10,85.100,+0.42%,"476,336"
DOV,85.43,85.430,+0.42%,"207,913"
GE,26.41,26.410,+0.42%,"7,964,684"
LO,56.965,56.965,+0.41%,"773,752"
MKC,70.53,70.530,+0.41%,"189,713"
MYL,46.38,46.380,+0.41%,"948,422"
BK,34.22,34.220,+0.41%,"1,371,992"
GT,24.52,24.520,+0.41%,"851,523"
BHI,69.49,69.490,+0.40%,"881,805"
APH,94.96,94.960,+0.38%,"130,149"
DD,66.94,66.940,+0.37%,"978,298"
PG,80.5273,80.527,+0.37%,"2,256,665"
PEP,85.96,85.960,+0.36%,"1,207,481"
LMT,161.141,161.141,+0.36%,"305,327"
LM,48.28,48.280,+0.35%,"374,747"
VAR,81.105,81.105,+0.35%,"140,768"
AMAT,19.94,19.940,+0.35%,"3,583,649"
NSC,98.21,98.210,+0.35%,"346,226"
WHR,144.91,144.910,+0.35%,"360,549"
INTC,26.13,26.130,+0.35%,"7,057,954"
BAC,14.5799,14.580,+0.34%,"31,865,573"
OMC,68.02,68.020,+0.34%,"794,165"
PLL,84.00,84.000,+0.33%,"66,675"
RAI,57.45,57.450,+0.33%,"606,181"
ZTS,30.38,30.380,+0.33%,"740,329"
DOW,49.9033,49.903,+0.33%,"2,719,400"
DVN,72.7875,72.788,+0.33%,"1,181,719"
HIG,34.18,34.180,+0.32%,"1,154,150"
CPB,44.17,44.170,+0.30%,"635,321"
JBL,17.92,17.920,+0.28%,"554,112"
TMK,80.24,80.240,+0.27%,"196,356"
FFIV,106.21,106.210,+0.27%,"324,673"
LEG,33.00,33.000,+0.27%,"292,162"
CERN,51.50,51.500,+0.27%,"446,123"
DNR,16.745,16.745,+0.27%,"878,264"
PH,121.58,121.580,+0.26%,"294,745"
KRFT,57.51,57.510,+0.26%,"679,143"
CA,29.065,29.065,+0.26%,"888,187"
KR,46.66,46.660,+0.26%,"1,240,229"
KLAC,63.38,63.380,+0.25%,"187,695"
KSS,52.48,52.480,+0.25%,"823,479"
ZION,28.27,28.270,+0.25%,"585,527"
PPG,196.17,196.170,+0.25%,"187,652"
KMI,33.33,33.330,+0.24%,"1,660,719"
MDLZ,37.51,37.510,+0.24%,"2,025,468"
BRK/B,126.36,126.360,+0.24%,"684,728"
EMC,26.34,26.340,+0.23%,"4,536,014"
TMO,114.73,114.730,+0.23%,"807,143"
LLY,58.79,58.790,+0.22%,"888,297"
COH,41.48,41.480,+0.22%,"929,326"
EL,74.04,74.040,+0.22%,"332,567"
PEG,37.25,37.250,+0.22%,"1,552,044"
AVY,46.76,46.760,+0.21%,"712,544"
ACE,102.89,102.890,+0.21%,"275,204"
EMR,65.51,65.510,+0.21%,"1,067,537"
L,42.57,42.570,+0.21%,"274,137"
PBCT,14.19,14.190,+0.21%,"1,092,485"
PCL,42.67,42.670,+0.21%,"138,395"
QEP,31.015,31.015,+0.21%,"504,926"
CCL,39.26,39.260,+0.20%,"2,066,299"
NTRS,59.67,59.690,+0.20%,"398,666"
PGR,25.20,25.200,+0.20%,"939,428"
NLSN,47.11,47.110,+0.19%,"187,491"
KEY,13.255,13.255,+0.19%,"2,231,866"
FAST,47.89,47.890,+0.19%,"393,707"
ADT,32.35,32.350,+0.19%,"374,805"
USB,41.185,41.185,+0.18%,"1,958,184"
APA,89.8794,89.879,+0.17%,"580,630"
FE,31.29,31.290,+0.16%,"1,124,124"
AEP,51.04,51.040,+0.16%,"616,087"
SEE,32.44,32.440,+0.15%,"279,865"
PWR,32.65,32.650,+0.15%,"278,945"
FISV,59.32,59.320,+0.15%,"180,588"
CMA,46.15,46.150,+0.15%,"311,173"
LUK,24.667,24.667,+0.15%,"402,224"
CL,66.659,66.659,+0.15%,"714,287"
TRV,92.8065,92.807,+0.15%,"613,673"
CINF,48.55,48.550,+0.14%,"68,390"
PX,130.37,130.370,+0.14%,"193,679"
NEE,96.46,96.460,+0.13%,"999,347"
DPS,57.173,57.173,+0.13%,"235,731"
TSCO,63.67,63.670,+0.13%,"344,117"
ORCL,41.61,41.610,+0.12%,"4,800,430"
LUV,24.98,24.980,+0.12%,"1,753,264"
FLIR,33.53,33.530,+0.12%,"243,195"
EFX,69.54,69.540,+0.12%,"214,628"
DHI,21.945,21.945,+0.11%,"1,638,254"
POM,27.66,27.660,+0.11%,"1,545,152"
BAX,74.26,74.260,+0.11%,"860,978"
PHM,18.62,18.620,+0.11%,"2,315,548"
MWV,39.60,39.600,+0.10%,"123,429"
ISRG,363.62,363.960,+0.10%,"69,024"
FIS,53.29,53.290,+0.09%,"295,609"
WAT,101.02,101.070,+0.09%,"157,971"
GPS,40.32,40.320,+0.07%,"851,322"
MTB,119.45,119.470,+0.07%,"138,336"
HAL,62.92,62.920,+0.06%,"2,159,764"
R,82.48,82.480,+0.06%,"155,955"
ITW,85.38,85.380,+0.06%,"396,476"
AMT,88.08,88.080,+0.06%,"472,465"
SBUX,70.26,70.260,+0.04%,"1,079,338"
FLS,73.50,73.500,+0.04%,"203,968"
ALLE,50.52,50.520,+0.04%,"135,365"
TEL,56.91,56.910,+0.04%,"364,234"
NWL,29.09,29.090,+0.03%,"353,322"
TWX,69.23,69.230,+0.03%,"3,056,076"
LB,55.515,55.515,+0.03%,"692,122"
MJN,85.99,85.990,+0.02%,"231,607"
KMX,43.89,43.890,+0.02%,"293,854"
SYK,80.065,80.065,+0.02%,"219,072"
SO,42.777,42.777,+0.02%,"1,081,643"
KIM,22.56,22.560,0.00%,"679,649"
LSI,11.14,11.140,0.00%,0
NRG,33.56,33.560,0.00%,"1,372,522"
FRX,92.65,92.650,-0.01%,"612,416"
GILD,81.13,81.130,-0.01%,"4,733,942"
HD,77.95,77.950,-0.01%,"2,892,880"
ADP,77.55,77.550,-0.01%,"579,549"
PPL,33.265,33.265,-0.02%,"1,503,540"
CHRW,59.0988,59.099,-0.02%,"356,180"
QCOM,79.844,79.844,-0.02%,"3,601,603"
BMY,48.75,48.750,-0.02%,"2,153,433"
TXT,38.08,38.080,-0.03%,"835,125"
CMI,147.51,147.510,-0.03%,"270,457"
GNW,17.585,17.585,-0.03%,"2,147,023"
OI,32.42,32.420,-0.03%,"229,600"
RTN,95.39,95.390,-0.03%,"362,002"
VFC,61.98,61.980,-0.03%,"315,872"
GIS,53.45,53.450,-0.06%,"736,916"
D,68.88,68.880,-0.06%,"542,253"
SWY,34.32,34.320,-0.06%,"312,248"
SCG,50.80,50.800,-0.06%,"208,133"
AIZ,66.27,66.270,-0.06%,"115,543"
CLX,88.30,88.300,-0.07%,"208,254"
WDC,83.78,83.780,-0.07%,"687,985"
MAC,65.31,65.310,-0.08%,"160,059"
IGT,12.27,12.270,-0.08%,"1,557,441"
PVH,130.40,130.400,-0.08%,"223,362"
CNP,23.62,23.620,-0.08%,"1,462,380"
RL,150.10,150.110,-0.10%,"269,075"
IRM,29.81,29.810,-0.10%,"384,950"
ABT,39.50,39.500,-0.10%,"1,869,486"
HCBK,9.6401,9.640,-0.10%,"423,009"
ALTR,32.935,32.935,-0.11%,"899,681"
MMM,140.08,140.080,-0.11%,"657,549"
T,35.46,35.460,-0.11%,"12,260,882"
ROK,118.775,118.775,-0.11%,"254,448"
MNST,69.37,69.370,-0.12%,"416,094"
WAG,68.80,68.800,-0.12%,"775,595"
XL,32.23,32.230,-0.12%,"361,602"
PRGO,132.72,132.720,-0.14%,"557,093"
ORLY,145.51,145.510,-0.14%,"170,512"
TEG,57.26,57.260,-0.14%,"114,119"
PAYX,40.73,40.730,-0.15%,"536,156"
YUM,74.55,74.550,-0.15%,"631,749"
CF,246.41,246.410,-0.15%,"261,191"
CB,92.60,92.600,-0.15%,"295,646"
NU,45.12,45.120,-0.15%,"428,919"
SRCL,111.62,111.620,-0.16%,"59,704"
NVDA,18.2098,18.210,-0.17%,"2,129,075"
CBG,28.95,28.950,-0.17%,"681,109"
AAPL,603.61,603.610,-0.18%,"3,758,367"
AVP,13.685,13.685,-0.18%,"659,196"
PNW,54.42,54.420,-0.18%,"271,666"
MAS,20.78,20.780,-0.19%,"2,396,396"
CELG,147.36,147.360,-0.20%,"690,116"
SPG,174.98,174.960,-0.21%,"302,816"
XEL,30.025,30.025,-0.22%,"864,456"
TAP,64.63,64.630,-0.22%,"532,159"
SHW,199.88,199.880,-0.22%,"150,927"
HAS,53.22,53.220,-0.22%,"294,122"
LLL,114.25,114.250,-0.23%,"361,798"
PSA,170.42,170.420,-0.23%,"104,707"
WM,43.32,43.320,-0.23%,"435,662"
BCR,146.95,146.950,-0.23%,"270,977"
ARG,104.39,104.390,-0.24%,"188,150"
CMS,28.88,28.880,-0.24%,"509,707"
M,56.37,56.370,-0.25%,"1,402,565"
HSY,97.205,97.205,-0.25%,"379,389"
ACT,205.58,205.580,-0.25%,"481,946"
ADSK,50.94,50.940,-0.25%,"648,681"
AIV,31.13,31.130,-0.26%,"276,802"
TSS,30.60,30.600,-0.26%,"497,470"
XLNX,45.66,45.660,-0.26%,"1,042,235"
K,67.61,67.610,-0.27%,"380,702"
HOG,71.23,71.230,-0.27%,"237,876"
DUK,69.905,69.900,-0.27%,"684,774"
JEC,52.7746,52.775,-0.27%,"264,180"
DTE,74.25,74.250,-0.28%,"238,515"
ESS,178.67,178.670,-0.29%,"112,987"
UA,46.65,46.650,-0.30%,"545,088"
NI,36.58,36.580,-0.30%,"983,475"
ALXN,155.38,155.380,-0.30%,"235,820"
BXP,119.43,119.430,-0.31%,"185,283"
WU,15.67,15.670,-0.32%,"1,825,287"
MHK,133.26,133.260,-0.32%,"158,293"
VNO,104.80,104.800,-0.32%,"131,363"
ZMH,101.225,101.225,-0.33%,"256,324"
BRCM,30.20,30.200,-0.33%,"2,164,801"
FOSL,100.6192,100.619,-0.34%,"181,432"
IR,56.85,56.850,-0.35%,"639,189"
LEN,37.885,37.885,-0.36%,"882,202"
DE,89.6301,89.630,-0.36%,"1,265,724"
COP,78.26,78.260,-0.36%,"1,983,236"
RSG,34.465,34.465,-0.36%,"351,211"
PLD,40.67,40.670,-0.37%,"535,648"
TGT,56.40,56.400,-0.37%,"8,070,398"
NAVI,15.88,15.880,-0.38%,"398,216"
ABBV,53.335,53.335,-0.38%,"1,573,370"
WEC,44.65,44.650,-0.40%,"439,953"
AVB,139.775,139.775,-0.41%,"245,386"
FDO,55.85,55.850,-0.41%,"281,177"
WMT,75.36,75.360,-0.44%,"2,757,133"
CSC,60.86,60.860,-0.46%,"151,937"
ETR,73.15,73.150,-0.46%,"473,937"
TYC,42.56,42.560,-0.47%,"934,904"
EXC,33.73,33.730,-0.47%,"3,872,491"
EQR,61.12,61.120,-0.47%,"301,527"
ATI,40.44,40.440,-0.49%,"423,639"
GAS,52.03,52.030,-0.50%,"117,611"
ED,53.805,53.805,-0.51%,"809,405"
BLL,59.69,59.700,-0.52%,"152,886"
EIX,53.75,53.750,-0.52%,"456,453"
NEM,23.49,23.490,-0.55%,"1,275,113"
GHC,671.21,671.200,-0.57%,"10,533"
EBAY,51.66,51.660,-0.58%,"12,327,896"
JWN,67.07,67.070,-0.58%,"631,040"
MOS,49.39,49.390,-0.58%,"539,940"
SYY,36.266,36.266,-0.59%,"767,682"
TXN,45.44,45.440,-0.59%,"1,623,131"
GGP,23.34,23.340,-0.60%,"676,978"
REGN,290.976,291.020,-0.60%,"232,816"
CVC,17.09,17.090,-0.64%,"986,603"
NUE,50.97,50.970,-0.64%,"769,472"
AA,13.064,13.064,-0.65%,"5,308,016"
STJ,63.70,63.700,-0.67%,"293,300"
TE,16.98,16.980,-0.70%,"503,082"
COST,114.31,114.310,-0.71%,"550,858"
JOY,57.20,57.200,-0.73%,"749,413"
BMS,40.475,40.475,-0.75%,"105,187"
AES,13.725,13.725,-0.76%,"2,133,102"
SWN,44.65,44.650,-0.80%,"2,494,912"
CNX,44.1229,44.123,-0.80%,"624,871"
EXPD,45.22,45.220,-0.81%,"643,544"
FCX,34.159,34.160,-0.81%,"2,669,493"
CCE,46.19,46.190,-0.82%,"561,310"
VTR,66.72,66.720,-0.82%,"498,535"
HST,21.41,21.410,-0.83%,"861,599"
MAR,58.38,58.380,-0.87%,"784,874"
TDC,40.44,40.440,-0.88%,"999,312"
VMC,59.04,59.040,-0.89%,"306,250"
LOW,45.10,45.100,-0.92%,"5,122,670"
URBN,32.67,32.670,-0.94%,"1,501,312"
IP,46.12,46.120,-0.95%,"610,724"
HCP,41.91,41.910,-0.95%,"529,983"
SPLS,11.595,11.595,-0.98%,"3,704,698"
EW,84.30,84.300,-1.00%,"584,706"
AEE,38.04,38.040,-1.01%,"845,416"
MAT,38.12,38.120,-1.06%,"521,810"
HCN,64.11,64.110,-1.08%,"390,026"
CTL,37.16,37.160,-1.12%,"2,045,005"
PSX,81.00,81.000,-1.18%,"4,830,163"
TSN,40.15,40.150,-1.21%,"1,008,515"
HPQ,32.40,32.400,-1.22%,"4,767,675"
CFN,42.39,42.390,-1.30%,"1,647,773"
X,23.65,23.650,-1.38%,"2,836,371"
XRX,11.83,11.830,-1.42%,"3,423,240"
ADI,51.22,51.220,-1.46%,"2,189,273"
WIN,9.1501,9.150,-1.51%,"2,809,525"
VLO,54.00,54.000,-1.68%,"4,252,303"
MPC,87.02,87.020,-1.82%,"1,447,437"
DLTR,50.185,50.185,-1.83%,"1,627,157"
BTU,17.685,17.685,-1.91%,"2,850,636"
BBBY,60.40,60.400,-2.06%,"2,057,886"
HRL,47.37,47.370,-2.39%,"574,296"
TSO,53.36,53.360,-2.49%,"1,833,947"
FTR,5.675,5.675,-2.99%,"7,573,167"
CRM,49.96,49.950,-5.56%,"11,642,401"
PETM,57.41,57.410,-7.69%,"8,268,861"
