Symbol,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Vol Index,Sizzle Index
CTAS,71.23,+.01,+0.01%,"239,591",71.22,71.24,71.3195,70.62,3.35,21.42%,0.156
CTCM,6.08,+.02,+0.33%,"1,137,930",6.07,6.08,6.09,5.92,.96,106.96%,0.729
CTCT,32.16,+.15,+0.47%,"189,172",32.14,32.18,32.31,31.70,.52,45.96%,0.079
CTIC,2.390,-.01,-0.42%,"283,154",2.380,2.390,2.420,2.350,-.47,76.85%,0.356
CTIX,3.4700,+.09,+2.66%,"401,214",3.4700,3.4800,3.5000,3.3800,-.1,,
CTLT,24.70,-.24,-0.96%,"189,125",24.70,24.75,24.72,23.45,.25,42.83%,0.654
CTRE,14.00,-.11,-0.78%,"83,524",13.97,14.03,14.21,13.71,0,,
CTRP,56.095,-1.025,-1.79%,"911,380",56.05,56.10,57.075,55.07,1.1,54.81%,0.809
CTRX,42.50,-.30,-0.70%,"534,695",42.49,42.50,42.76,42.16,1.36,39.34%,0.141
CTSH,45.58,+.48,+1.06%,"1,441,588",45.57,45.59,45.71,44.87,2.24,31.39%,1.078
CTXS,63.32,-.27,-0.42%,"1,061,531",63.32,63.34,63.91,63.05,1.66,26.75%,0.302
CUBE,20.03,+.08,+0.40%,"558,507",20.03,20.04,20.08,19.83,.12,23.40%,3.941
CVBF,14.64,+.11,+0.76%,"85,117",14.62,14.64,14.64,14.30,.98,25.37%,3.25
CVEO,12.23,-.12,-0.97%,"670,685",12.23,12.25,12.50,12.03,0,48.47%,5.813
CVLT,44.11,-.87,-1.93%,"989,278",44.11,44.13,44.75,43.89,1.29,63.10%,0.781
CVRR,24.82,+.16,+0.65%,"140,646",24.79,24.84,24.85,24.15,2.85,37.26%,0.375
CVTI,20.57,-1.72,-7.72%,"367,725",20.51,20.58,22.28,19.13,.51,,
CWEI,73.24,+.17,+0.23%,"161,410",72.99,73.46,73.94,69.07,4.49,,
CYBR,33.48,+3.24,+10.71%,"2,358,920",33.38,33.48,33.75,29.40,0,83.67%,6.848
CYBX,50.83,-.13,-0.26%,"153,493",50.82,50.89,51.33,50.51,2.19,62.81%,0.266
CYNO,20.76,+.06,+0.29%,"188,287",20.69,20.76,20.80,20.29,.61,54.51%,0.184
CYTK,3.425,-.075,-2.14%,"105,480",3.41,3.43,3.51,3.30,-.62,191.28%,0.075
CYTR,2.6800,-.12,-4.29%,"380,230",2.6800,2.6900,2.7900,2.6500,-1.31,98.39%,2.708
DANG,11.92,-.28,-2.30%,"675,647",11.91,11.93,12.185,11.7338,-.12,70.95%,1.434
DATA,78.31,+.41,+0.53%,"493,908",78.22,78.32,78.54,76.70,.15,63.37%,0.438
DBVT,25.74,-1.26,-4.67%,"164,326",25.73,25.80,26.055,25.00,0,,
DECK,83.30,+1.74,+2.13%,"1,051,688",83.25,83.33,83.8224,81.06,4.17,35.06%,0.508
DENN,7.73,-.07,-0.90%,"745,871",7.72,7.73,7.84,7.72,.28,41.37%,67.826
DEPO,15.03,-.07,-0.46%,"299,901",15.02,15.04,15.15,14.82,1.35,50.53%,0.579
DGLY,15.246,+.756,+5.22%,"494,689",15.24,15.36,16.05,14.78,-2.01,,
DISH,61.51,-.69,-1.11%,"555,553",61.50,61.52,62.25,61.36,2.24,47.50%,0.858
DLPH,67.09,+.31,+0.46%,"1,048,693",67.08,67.10,67.395,65.97,4.14,27.15%,0.555
DLTR,58.945,+.005,+0.01%,"574,683",58.93,58.94,59.16,58.62,2.82,27.41%,0.224
DMND,28.25,-.12,-0.42%,"108,580",28.21,28.29,28.41,27.91,-6.33,38.25%,0.34
DNDN,1.0300,0,0.00%,"571,816",1.0200,1.0300,1.0600,1.0000,-1.36,188.36%,0.401
DNKN,45.40,+.29,+0.64%,"571,814",45.39,45.42,45.44,44.92,1.55,27.69%,0.112
DNOW,28.12,-.85,-2.93%,"690,835",28.12,28.15,28.84,27.89,0,53.73%,0.135
DORM,43.78,+.24,+0.55%,"120,129",43.74,43.78,43.794,43.13,2.47,34.49%,1.216
DRII,22.24,+.03,+0.14%,"121,264",22.21,22.25,22.27,21.82,-.26,,
DRIV,25.54,-.11,-0.43%,"701,865",25.54,25.56,25.65,25.46,-.68,13.23%,0.735
DRNA,9.465,-.235,-2.42%,"80,864",9.46,9.51,9.70,9.26,-367.2,,
DRTX,24.05,+.07,+0.29%,"134,251",24.03,24.04,24.05,23.81,-2.4,23.24%,0.1
