Symbol,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Vol Index,Sizzle Index
ARUN,20.21,+.07,+0.35%,"465,468",20.19,20.21,20.25,19.52,-.27,60.71%,7.877
ARWR,7.07,-.09,-1.26%,"795,017",7.07,7.08,7.20,6.76,-1.19,129.77%,0.603
ASBC,17.63,-.01,-0.06%,"192,586",17.62,17.63,17.71,17.49,1.13,21.13%,0.074
ASGN,28.65,-.12,-0.42%,"121,448",28.65,28.66,28.80,28.29,1.31,49.97%,0.061
ASML,95.60,+.54,+0.57%,"243,521",95.53,95.62,95.80,94.28,0,27.79%,0.1
ASNA,12.16,+.04,+0.33%,"423,306",12.16,12.17,12.175,11.95,.84,30.72%,0.476
ASPS,71.4400,-1.89,-2.58%,"506,953",71.3200,71.5500,73.5299,69.6400,7.05,66.45%,5.008
ATEN,4.05,-.01,-0.25%,"167,659",4.05,4.07,4.10,4.01,0,76.31%,0.186
ATHL,58.09,0,0.00%,"1,729,969",58.08,58.09,58.11,58.05,.58,24.16%,0.159
ATHM,49.67,-.27,-0.54%,"550,640",49.56,49.68,50.96,49.06,.72,76.65%,0.737
ATHN,116.175,-1.795,-1.52%,"196,491",116.10,116.25,117.839,115.82,.05,39.27%,0.292
ATHX,1.400,+.0499,+3.70%,"140,417",1.390,1.400,1.430,1.350,-.39,217.86%,0.462
ATLS,38.915,-.285,-0.73%,"456,193",38.88,38.95,39.10,37.79,-1.52,35.26%,0.153
ATML,7.17,+.04,+0.56%,"1,473,424",7.16,7.17,7.17,7.02,.08,50.18%,0.1
ATRS,2.020,-.01,-0.49%,"306,400",2.010,2.020,2.060,1.980,-.23,97.36%,0.219
ATTO,9.44,-.40,-4.07%,"88,606",9.40,9.45,9.83,9.05,0,,
ATVI,19.11,-.06,-0.31%,"10,634,727",19.11,19.12,19.25,18.98,.94,45.07%,0.581
AUDC,4.79,+.14,+3.01%,"121,078",4.79,4.80,4.95,4.74,.13,60.14%,0.165
AUXL,31.54,+.20,+0.64%,"380,267",31.54,31.55,31.56,31.10,-2.92,45.01%,0.069
AVAL,13.02,+.01,+0.08%,"186,486",13.03,13.05,13.07,12.85,0,,
AVGO,81.53,-.32,-0.39%,"887,276",81.51,81.56,81.9599,80.121,1.33,36.70%,0.614
AVNR,11.975,+.125,+1.05%,"4,435,669",11.97,11.98,12.80,11.52,-.47,80.69%,3.619
AVNW,1.80,-.01,-0.55%,"85,333",1.80,1.81,1.83,1.7101,-.83,,
AWAY,34.29,+.53,+1.57%,"564,488",34.25,34.29,34.42,33.70,.17,56.98%,0.48
AXAS,3.7001,-.3399,-8.41%,"1,608,030",3.70,3.71,3.88,3.55,.4,92.43%,0.545
AXDX,22.60,-.16,-0.70%,"82,858",22.42,22.60,22.86,22.08,-.53,87.98%,0.365
AXLL,38.68,-.19,-0.49%,"434,459",38.66,38.68,38.69,37.79,1.6,43.23%,5.252
AXPW,2.2999,-.0601,-2.55%,"85,367",2.2300,2.3000,2.4500,2.2900,-5.5,,
AZPN,39.01,+.51,+1.32%,"384,565",38.99,39.02,39.08,38.302,.92,40.34%,0.921
BABA,97.89,+2.13,+2.22%,"19,890,038",97.87,97.89,98.85,96.30,0,47.30%,1.948
