former runners.tos

former runners.tos
Symbol,Mark,Mark %Change,Volume
AAOI,17.870,-1.54%,"53,961"
ABIO,1.3501,-1.45%,"90,402"
AGIO,31.760,-0.31%,"109,768"
AKRX,27.490,+2.04%,"265,716"
ALB,67.740,+0.40%,"218,084"
ALLE,50.520,+0.04%,"135,365"
AMCF,2.100,+0.96%,"16,034"
AMKR,9.335,-0.16%,"754,531"
AMRS,3.06000,-3.16%,"102,984"
ANGI,10.175,+2.99%,"285,584"
ANIK,45.160,-3.30%,"193,528"
APPY,1.930,-1.53%,"35,277"
AQXP,10.050,-0.99%,"5,300"
ARIA,6.300,-0.94%,"2,432,935"
ARTX,4.380,-4.58%,"360,286"
ASTM,4.060,-2.17%,"98,653"
ATHM,35.510,+4.20%,"100,183"
ATHN,114.379,+0.02%,"385,098"
ATSI,4.000,,0
AVNR,4.630,-1.49%,"589,618"
AWAY,31.070,+1.40%,"712,006"
BEAT,6.740,-2.88%,"125,886"
BIDU,161.910,+2.20%,"1,456,003"
BIOF,5.780,+5.09%,"121,779"
BLDP,3.2401,-2.41%,"1,140,834"
BOFI,76.000,-1.00%,"39,992"
BORN,3.1000,+5.44%,"221,875"
BUS,0,,0
CALL,14.420,+0.14%,"183,235"
CAMT,3.320,-1.63%,"14,708"
CARA,13.640,-1.45%,"87,865"
CBGI,.01490,-67.32%,"11,373,938"
CBIS,.07220,+3.00%,"1,997,606"
CBK,6.180,-1.59%,"57,381"
CDTI,2.4170,-5.22%,"59,636"
CETV,2.7100,-1.81%,"114,431"
CHTP,6.560,+0.46%,"1,539,154"
CJJD,1.5900,+1.92%,"10,617"
CLDX,12.690,+0.79%,"747,343"
CLNE,9.380,-1.16%,"465,258"
CLNT,5.340,+1.71%,"5,781"
CNAT,5.400,-1.46%,"132,526"
CNK,29.870,-0.67%,"164,277"
COMM,25.980,+2.81%,"293,812"
CPST,1.4100,+0.71%,"2,891,903"
CREG,2.6200,-1.13%,"8,058"
CRUS,21.560,-1.55%,"634,248"
CSIQ,23.165,+3.37%,"2,476,616"
CTIC,2.5376,-2.02%,"702,676"
CVLT,49.530,-0.52%,"288,677"
CVO,2.940,+0.34%,"115,948"
DANG,9.950,+2.47%,"1,738,445"
DATA,54.750,-4.13%,"1,564,735"
DDD,50.570,+2.53%,"2,335,860"
DHI,21.950,+0.14%,"1,638,354"
DHRM,5.580,+6.29%,"106,529"
DPW,.8803,-2.19%,"10,807"
DRAM,2.570,-1.54%,"3,101"
DXM,9.450,-1.56%,"69,061"
DYAX,6.150,-1.28%,"409,818"
EGLE,3.390,-1.17%,"35,019"
EGRX,9.460,-1.36%,"18,581"
ELY,7.755,+2.04%,"571,433"
ENDP,71.570,+1.24%,"1,208,580"
ENPH,8.350,+3.34%,"90,854"
EONC,3.950,-4.59%,"186,244"
ERII,4.482,-2.35%,"64,906"
EROC,4.060,+0.50%,"487,476"
EW,84.260,-1.05%,"584,806"
FNMA,4.3800,+0.65%,"2,748,251"
FRX,92.640,-0.02%,"612,616"
FST,2.215,+4.48%,"1,896,796"
FXEN,4.410,+1.61%,"128,473"
GERN,1.9800,+2.06%,"2,732,487"
GIMO,17.295,-1.56%,"94,366"
GLOG,24.360,+1.71%,"334,749"
GLUU,3.800,0.00%,"596,516"
GOGO,14.860,+2.41%,"1,537,588"
GOMO,15.750,+4.24%,"309,344"
GPRK,9.350,+0.54%,"3,053"
GTAT,14.320,+2.14%,"3,406,669"
GWPH,66.460,-2.02%,"274,375"
HART,6.860,-3.92%,"14,419"
HBAN,9.065,+0.50%,"2,738,406"
HIMX,7.375,+2.43%,"2,222,741"
HL,2.9101,-1.69%,"2,362,252"
HPJ,3.524,+3.94%,"189,050"
HTZ,28.430,+0.53%,"1,271,559"
HZNP,13.160,+1.31%,"869,698"
IBKR,22.580,+1.99%,"100,597"
ICLD,4.3300,+0.93%,"86,778"
IDRA,2.4550,-4.84%,"776,620"
IGC,1.7340,+38.72%,"11,132,253"
IGTE,35.300,-0.03%,"44,246"
IMPV,21.210,+0.33%,"176,019"
IMTC,.0500,-16.67%,"1,280"
INO,2.1400,-4.46%,"1,619,449"
INVN,18.310,+1.22%,"755,011"
IOC,60.790,+1.57%,"77,503"
IRBT,32.125,+0.77%,"334,285"
ISR,2.2110,-2.17%,"845,014"
ITMN,38.220,+2.19%,"1,060,720"
JASO,9.765,+5.34%,"2,123,189"
JAZZ,127.680,-0.65%,"261,654"
JTPY,2.0999,+1.94%,"1,400"
JVA,7.340,+1.24%,"8,892"
KIOR,.4600,-10.16%,"640,286"
KNDI,11.090,-0.81%,"777,298"
KOOL,1.5399,-1.29%,"32,138"
KORS,92.280,+0.46%,"968,121"
KTOS,7.580,+4.12%,"342,769"
KWK,2.4500,+0.41%,"719,327"
LBMH,3.580,-0.83%,"122,350"
LEDS,1.030,0.00%,"13,106"
LF,6.780,-0.88%,"221,431"
LIOX,5.620,-0.53%,"132,103"
LJPC,7.720,-9.92%,"166,648"
LLEN,.4100,+5.13%,"81,680"
LOJN,5.360,+0.37%,"31,063"
LONG,14.100,+1.44%,"4,108"
LSCC,7.930,+0.51%,"309,278"
MBI,11.800,-1.01%,"717,406"
MDBX,15.750,+8.92%,"34,616"
MEET,1.9200,-2.04%,"91,221"
MELI,81.900,+1.70%,"1,278,847"
MFRI,9.620,-0.82%,"9,264"
MM,4.180,+0.24%,"577,309"
MNGA,1.2300,-2.38%,"181,948"
MNKD,7.710,+1.85%,"6,081,002"
MOBI,6.410,+2.72%,"147,281"
MRVC,12.970,+8.08%,"2,032"
MVIS,1.6800,-1.75%,"127,355"
MYEC,.0298,-2.93%,"4,928,144"
NAT,8.280,-0.36%,"286,147"
NBG,3.060,+3.73%,"6,514,611"
NEON,3.503,-3.51%,"428,987"
