former runners.tos

former runners.tos
Symbol,Mark,Mark %Change,Volume
NIHD,.6150,+25.74%,"6,560,115"
NLS,11.250,+0.36%,"56,859"
NMBL,25.471,-0.51%,"312,029"
NPSP,26.060,-3.16%,"516,685"
NQ,7.650,+3.52%,"1,571,159"
NSTG,14.050,-1.47%,"37,521"
NUS,71.740,-0.97%,"810,014"
NUVA,32.328,-2.36%,"227,484"
NVAX,4.380,-0.68%,"1,186,243"
NVGN,3.880,+6.01%,"1,502"
OCLS,3.4300,+1.78%,"31,397"
OCN,32.580,-2.48%,"1,851,942"
OLBK,15.430,+0.46%,"5,262"
OMER,9.870,-2.08%,"140,263"
ONVO,6.640,0.00%,"297,968"
OREX,5.380,-0.37%,"1,220,120"
ORMP,9.300,-2.00%,"18,908"
OSIR,15.430,+0.78%,"70,441"
OXBT,4.810,-1.43%,"41,836"
OXGN,2.900,-4.29%,"163,899"
PBYI,63.940,+3.38%,"149,295"
PDO,5.150,-1.15%,839
PEIX,12.000,+1.70%,"499,828"
PERI,10.270,-0.19%,"26,513"
PHMD,11.860,-1.33%,"15,910"
PLUG,4.400,0.00%,"7,725,150"
POWR,7.850,+1.42%,"927,867"
PPHM,1.6988,-1.23%,"384,666"
PPO,42.410,-0.82%,"237,389"
PPP,6.630,+0.91%,"129,876"
PRAN,1.6000,+2.56%,"579,013"
PRKR,4.421,-2.30%,"279,475"
PRMW,4.190,+0.48%,"26,843"
PSTI,3.405,-2.45%,"25,842"
PTN,1.1206,+1.87%,"27,419"
PXLW,6.230,-0.16%,"257,717"
QCOR,90.920,-2.00%,"594,476"
QLIK,21.490,-0.78%,"655,183"
QTWW,4.430,+6.24%,"1,045,003"
RAD,7.720,0.00%,"6,535,261"
REDF,2.7500,+25.00%,"1,585,066"
REGN,291.050,-0.59%,"232,816"
RFMD,8.950,+0.34%,"4,123,695"
RIGL,3.1100,-2.51%,"166,459"
RKUS,9.430,+2.61%,"496,425"
RNA,6.360,-3.64%,"30,981"
ROIAK,3.930,+1.81%,"20,887"
ROSG,3.796,-2.28%,"39,005"
SAVE,55.990,+0.52%,"354,270"
SIG,98.880,+1.35%,"823,394"
SLM,8.770,+0.23%,"4,378,934"
SODA,39.550,-1.25%,"403,467"
SPCB,8.080,-1.22%,"41,178"
SPX,1881.230,+0.45%,0
SUMR,3.260,+2.52%,"213,108"
SUNE,18.110,+3.07%,"4,061,580"
SWIR,19.060,-0.88%,"294,909"
SYMX,1.520,+0.66%,"54,342"
SYNA,57.130,-1.06%,"480,054"
TASR,12.890,+0.16%,"222,124"
THC,46.890,+2.16%,"842,665"
TISI,41.180,-0.87%,"50,907"
TRIP,86.680,+0.94%,"578,749"
TRMR,4.160,-0.72%,"72,311"
TRX,2.0188,-2.47%,"147,187"
TTHI,4.860,-0.61%,"3,099"
TWGP,2.1900,+0.46%,"88,777"
UIS,22.530,-0.09%,"128,675"
ULTA,84.570,-0.89%,"424,270"
UNIS,2.780,-1.42%,"225,194"
UPL,27.375,+2.11%,"1,742,164"
VEND,2.7400,+7.45%,"27,342"
VIPS,170.180,+0.61%,"800,449"
VIX,12.350,-4.71%,0
VMEM,3.240,+0.31%,"270,917"
VRNG,2.9800,-2.61%,"769,761"
VXX,35.400,-1.09%,"12,582,183"
WATT,10.880,+0.55%,"6,390"
WAVX,1.6420,-1.68%,"267,267"
WBAI,32.797,+1.85%,"44,116"
WDAY,75.350,-0.21%,"1,007,341"
WIX,15.520,-0.64%,"44,528"
WPRT,14.220,-0.35%,"274,996"
WTW,20.800,-1.47%,"188,929"
WUBA,40.170,+2.50%,"766,741"
WWE,10.670,-2.38%,"2,158,474"
WX,33.150,+0.79%,"192,752"
WYNN,201.340,+0.57%,"387,094"
XGTI,1.5599,+1.95%,"23,863"
XOMA,3.630,-0.55%,"525,438"
XON,16.980,+1.62%,"141,155"
XONE,25.390,-1.24%,"122,304"
XRS,23.000,+2.00%,"167,532"
XXII,2.4000,+0.84%,"223,274"
YGE,3.040,+6.67%,"4,438,299"
YHOO,34.220,+1.03%,"6,082,059"
YOD,2.0300,+0.50%,"90,565"
YOKU,20.950,-0.24%,"965,098"
YUME,5.370,-1.47%,"101,248"
YY,56.210,+0.46%,"1,039,931"
ZBRA,71.650,-0.22%,"126,710"
