Bins,Frequency,2010-frequency
90000,0,10
95000,1,17
100000,1,17
105000,2,23
110000,4,24
115000,5,28
120000,24,41
125000,21,26
130000,23,14
135000,26,20
140000,17,12
145000,31,6
150000,16,4
155000,11,5
160000,20,3
165000,11,0
170000,10,0
175000,4,0
180000,6,0
185000,4,0
190000,5,0
195000,1,0
200000,1,0
205000,0,0
210000,4,0
215000,1,0
220000,0,0
225000,1,0
