"id","ticker_id","ticker_symbol","open_pct_of_previous_high","price_date","trade_date","position","price","value"
9363,3301,"A",1.023089172,"2003-03-13","2003-03-17","SELL",13.878,108.0
9770,3301,"A",1.021370671,"2003-04-02","2003-04-07","SELL",14.9688,108.0
10902,3301,"A",1.0365521,"2003-06-02","2003-06-13","SELL",18.92,99.578947368421052632
12145,3301,"A",1.03285968,"2003-08-19","2003-08-21","SELL",25.1208,108.0
12688,3301,"A",1.04147881,"2003-10-03","2003-10-16","SELL",24.32,105.281385281385281385281385281
13389,3301,"A",1.07037037,"2003-11-18","2003-11-19","SELL",27.744,96.0
15797,3301,"A",1.023837436,"2004-05-18","2004-05-20","SELL",25.1,95.801526717557251908396946565
20328,3301,"A",1.023331969,"2005-07-11","2005-07-22","SELL",25.59,102.36
20761,3301,"A",1.114028507,"2005-08-15","2005-08-26","SELL",31.1,104.713804713804713804713804714
21384,3301,"A",1.082052958,"2005-10-14","2005-10-17","SELL",30.94,93.474320241691842900302114804
21899,3301,"A",1.045358967,"2005-11-15","2005-11-29","SELL",35.49,101.982758620689655172413793103
25357,3301,"A",1.069968826,"2006-08-15","2006-08-28","SELL",30.8,99.708643573972159274846228553
34496,3301,"A",1.027669173,"2008-05-15","2008-05-28","SELL",36.9036,108.0
50683,3301,"A",1.025512338,"2009-08-18","2009-08-31","SELL",25.68,104.730831973898858075040783034
53742,3301,"A",1.035123269,"2010-02-12","2010-02-26","SELL",31.46,102.642740619902120717781402936
56548,3301,"A",1.038656069,"2010-08-17","2010-08-24","SELL",27.6,96.0
59759,3301,"A",1.068788298,"2011-05-13","2011-05-17","SELL",51.9072,96.0
61420,3301,"A",1.027367774,"2011-09-27","2011-09-28","SELL",32.0736,96.0
62657,3301,"A",1.048252912,"2011-10-27","2011-10-28","SELL",40.824,108.0
63975,3301,"A",1.021815009,"2011-11-28","2011-12-01","SELL",37.9404,108.0
64419,3301,"A",1.02637486,"2011-11-30","2011-12-08","SELL",35.1168,96.0
67713,3301,"A",1.037271805,"2012-05-15","2012-05-18","SELL",39.2736,96.0
67731,3301,"A",1.02195122,"2012-05-17","2012-05-18","SELL",40.224,96.0
70418,3301,"A",1.032357043,"2012-11-19","2012-12-03","SELL",37.92,102.458794920291813023507160227
70864,3301,"A",1.029289724,"2013-01-02","2013-01-15","SELL",43.24,102.537348826179748636471425184
9364,3318,"AA",1.02808691,"2003-03-13","2003-03-18","SELL",20.952,108.0
9771,3318,"AA",1.023076923,"2003-04-02","2003-04-07","SELL",21.6,108.270676691729323308270676692
9934,3318,"AA",1.093596059,"2003-04-07","2003-04-10","SELL",21.312,96.0
10769,3318,"AA",1.033094812,"2003-05-21","2003-06-02","SELL",24.948,108.0
13705,3318,"AA",1.020057307,"2003-12-15","2003-12-29","SELL",38.448,108.0
14666,3318,"AA",1.02467751,"2004-02-11","2004-02-25","SELL",36.81,100.738916256157635467980295567
19377,3318,"AA",1.020072392,"2005-04-07","2005-04-14","SELL",29.76,96.0
20315,3318,"AA",1.036980557,"2005-07-08","2005-07-21","SELL",28.63,105.257352941176470588235294118
23717,3318,"AA",1.066020594,"2006-04-11","2006-04-13","SELL",33.792,96.0
26701,3318,"AA",1.023891967,"2007-01-10","2007-01-24","SELL",31.9356,108.0
27107,3318,"AA",1.049698795,"2007-02-13","2007-02-27","SELL",33.456,96.0
27949,3318,"AA",1.038338658,"2007-04-25","2007-05-07","SELL",38.61,108.0
28179,3318,"AA",1.055773543,"2007-05-07","2007-05-18","SELL",39.73,105.468542606848951420228298381
28943,3318,"AA",1.054365733,"2007-07-12","2007-07-16","SELL",48.384,108.0
45512,3318,"AA",1.028318584,"2009-03-19","2009-03-20","SELL",6.2748,108.0
45740,3318,"AA",1.024096386,"2009-03-23","2009-03-24","SELL",7.344,108.0
46059,3318,"AA",1.050452781,"2009-04-02","2009-04-03","SELL",7.7952,96.0
46629,3318,"AA",1.02022756,"2009-04-08","2009-04-09","SELL",8.7156,108.0
46668,3318,"AA",1.052696078,"2009-04-09","2009-04-13","SELL",9.2772,108.0
48048,3318,"AA",1.026266417,"2009-05-07","2009-05-08","SELL",10.3,94.149908592321755027422303474
48630,3318,"AA",1.021505376,"2009-06-01","2009-06-02","SELL",10.26,108.0
48948,3318,"AA",1.026678933,"2009-06-05","2009-06-08","SELL",10.7136,96.0
49097,3318,"AA",1.020480855,"2009-06-10","2009-06-11","SELL",12.3768,108.0
49504,3318,"AA",1.022517912,"2009-07-09","2009-07-10","SELL",9.39,93.993993993993993993993993994
50264,3318,"AA",1.024410774,"2009-08-03","2009-08-05","SELL",13.1436,108.0
50950,3318,"AA",1.025751073,"2009-09-03","2009-09-11","SELL",12.906,108.0
51005,3318,"AA",1.027823241,"2009-09-08","2009-09-15","SELL",13.5648,108.0
51301,3318,"AA",1.022001419,"2009-09-16","2009-09-21","SELL",13.824,96.0
51634,3318,"AA",1.024462565,"2009-10-06","2009-10-08","SELL",14.9256,108.0
51732,3318,"AA",1.054073034,"2009-10-08","2009-10-09","SELL",14.4096,96.0
53013,3318,"AA",1.027834352,"2009-12-21","2009-12-24","SELL",16.3512,108.0
