"id","ticker_id","ticker_symbol","price_date","trade_date","position","price","value"
9363,3301,"A","2003-03-13","2003-03-13","BUY",12.85,100.0
9363,3301,"A","2003-03-13","2003-03-14","HOLD",13.39,104.202334630350194552529182879
9363,3301,"A","2003-03-13","2003-03-17","SELL",13.878,108.0
9364,3318,"AA","2003-03-13","2003-03-13","BUY",19.4,100.0
9364,3318,"AA","2003-03-13","2003-03-14","HOLD",19.94,102.783505154639175257731958763
9364,3318,"AA","2003-03-13","2003-03-17","HOLD",20.81,107.268041237113402061855670103
9364,3318,"AA","2003-03-13","2003-03-18","SELL",20.952,108.0
70733,7395,"AAMC","2012-12-14","2012-12-14","BUY",19.0,100.0
70733,7395,"AAMC","2012-12-14","2012-12-17","SELL",31.5,165.789473684210526316
10508,4935,"AAON","2003-05-02","2003-05-02","BUY",14.13,100.0
10508,4935,"AAON","2003-05-02","2003-05-05","HOLD",13.74,97.239915074309978768577494692
10508,4935,"AAON","2003-05-02","2003-05-06","HOLD",14.02,99.221514508138711960368011323
10508,4935,"AAON","2003-05-02","2003-05-07","HOLD",14.3,101.203113941967445152158527955
10508,4935,"AAON","2003-05-02","2003-05-08","HOLD",14.77,104.5293701344656758669497523
10508,4935,"AAON","2003-05-02","2003-05-09","SELL",15.2604,108.0
10706,3286,"AAP","2003-05-15","2003-05-15","BUY",57.1,100.0
10706,3286,"AAP","2003-05-15","2003-05-16","HOLD",60.5,105.954465849387040280210157618
10706,3286,"AAP","2003-05-15","2003-05-19","HOLD",59.99,105.061295971978984238178633975
10706,3286,"AAP","2003-05-15","2003-05-20","HOLD",59.18,103.642732049036777583187390543
10706,3286,"AAP","2003-05-15","2003-05-21","HOLD",59.65,104.465849387040280210157618214
10706,3286,"AAP","2003-05-15","2003-05-22","HOLD",60.17,105.376532399299474605954465849
10706,3286,"AAP","2003-05-15","2003-05-23","HOLD",60.5,105.954465849387040280210157618
10706,3286,"AAP","2003-05-15","2003-05-27","HOLD",59.99,105.061295971978984238178633975
10706,3286,"AAP","2003-05-15","2003-05-28","HOLD",59.89,104.886164623467600700525394046
10706,3286,"AAP","2003-05-15","2003-05-29","SELL",59.1,103.502626970227670753064798599
14216,5082,"AAPL","2004-01-13","2004-01-13","BUY",24.7,100.0
14216,5082,"AAPL","2004-01-13","2004-01-14","HOLD",24.2,97.975708502024291497975708502
14216,5082,"AAPL","2004-01-13","2004-01-15","SELL",23.4,94.736842105263157894736842105
16857,3289,"AAV","2004-08-19","2004-08-19","BUY",14.69,100.0
16857,3289,"AAV","2004-08-19","2004-08-20","HOLD",14.79,100.680735194009530292716133424
16857,3289,"AAV","2004-08-19","2004-08-23","HOLD",14.75,100.408441116405718175629680054
16857,3289,"AAV","2004-08-19","2004-08-24","HOLD",14.75,100.408441116405718175629680054
16857,3289,"AAV","2004-08-19","2004-08-25","HOLD",15.03,102.314499659632402995234853642
16857,3289,"AAV","2004-08-19","2004-08-26","HOLD",15.02,102.2464261402314499659632403
16857,3289,"AAV","2004-08-19","2004-08-27","HOLD",14.9,101.429543907420013614703880191
16857,3289,"AAV","2004-08-19","2004-08-30","HOLD",14.91,101.497617426820966643975493534
16857,3289,"AAV","2004-08-19","2004-08-31","HOLD",14.98,101.97413206262763784887678693
16857,3289,"AAV","2004-08-19","2004-09-01","SELL",15.13,102.995234853641933287950987067
21993,5138,"AAWW","2005-11-22","2005-11-22","BUY",33.25,100.0
21993,5138,"AAWW","2005-11-22","2005-11-23","HOLD",32.75,98.496240601503759398496240601
21993,5138,"AAWW","2005-11-22","2005-11-25","HOLD",32.75,98.496240601503759398496240601
21993,5138,"AAWW","2005-11-22","2005-11-28","HOLD",33.0,99.248120300751879699248120301
21993,5138,"AAWW","2005-11-22","2005-11-29","HOLD",33.0,99.248120300751879699248120301
21993,5138,"AAWW","2005-11-22","2005-11-30","HOLD",34.55,103.909774436090225563909774436
21993,5138,"AAWW","2005-11-22","2005-12-01","SELL",35.91,108.0
9365,3329,"AB","2003-03-13","2003-03-13","BUY",27.3,100.0
9365,3329,"AB","2003-03-13","2003-03-14","HOLD",27.8,101.831501831501831501831501831
9365,3329,"AB","2003-03-13","2003-03-17","HOLD",27.9,102.197802197802197802197802198
9365,3329,"AB","2003-03-13","2003-03-18","HOLD",28.88,105.787545787545787545787545788
9365,3329,"AB","2003-03-13","2003-03-19","SELL",29.484,108.0
11526,4937,"ABAX","2003-07-09","2003-07-09","BUY",6.97,100.0
11526,4937,"ABAX","2003-07-09","2003-07-10","SELL",6.6912,96.0
11016,3369,"ABC","2003-06-06","2003-06-06","BUY",68.25,100.0
11016,3369,"ABC","2003-06-06","2003-06-09","HOLD",66.54,97.494505494505494505494505495
11016,3369,"ABC","2003-06-06","2003-06-10","HOLD",66.92,98.051282051282051282051282051
11016,3369,"ABC","2003-06-06","2003-06-11","HOLD",67.55,98.974358974358974358974358974
11016,3369,"ABC","2003-06-06","2003-06-12","HOLD",67.59,99.032967032967032967032967033
11016,3369,"ABC","2003-06-06","2003-06-13","HOLD",66.25,97.06959706959706959706959707
11016,3369,"ABC","2003-06-06","2003-06-16","HOLD",68.9,100.952380952380952380952380952
11016,3369,"ABC","2003-06-06","2003-06-17","HOLD",69.74,102.183150183150183150183150183
11016,3369,"ABC","2003-06-06","2003-06-18","HOLD",68.74,100.717948717948717948717948718
11016,3369,"ABC","2003-06-06","2003-06-19","SELL",67.9,99.487179487179487179487179487
12027,7094,"ABCO","2003-08-08","2003-08-08","BUY",41.14,100.0
12027,7094,"ABCO","2003-08-08","2003-08-11","HOLD",41.12,99.951385512882839086047642197
12027,7094,"ABCO","2003-08-08","2003-08-12","HOLD",41.25,100.267379679144385026737967914
12027,7094,"ABCO","2003-08-08","2003-08-13","HOLD",40.77,99.100631988332523091881380651
12027,7094,"ABCO","2003-08-08","2003-08-14","HOLD",39.95,97.107438016528925619834710744
12027,7094,"ABCO","2003-08-08","2003-08-15","HOLD",40.66,98.833252309188138065143412737
12027,7094,"ABCO","2003-08-08","2003-08-18","HOLD",41.16,100.048614487117160913952357803
12027,7094,"ABCO","2003-08-08","2003-08-19","HOLD",43.54,105.833738454059309674282936316
12027,7094,"ABCO","2003-08-08","2003-08-20","HOLD",43.44,105.590666018473505104521147302
12027,7094,"ABCO","2003-08-08","2003-08-21","SELL",43.19,104.982984929508993680116674769
11017,5101,"ABFS","2003-06-06","2003-06-06","BUY",26.75,100.0
11017,5101,"ABFS","2003-06-06","2003-06-09","SELL",25.68,96.0
18577,3413,"ABG","2005-01-20","2005-01-20","BUY",16.5,100.0
18577,3413,"ABG","2005-01-20","2005-01-21","HOLD",16.94,102.666666666666666666666666667
18577,3413,"ABG","2005-01-20","2005-01-24","HOLD",17.22,104.363636363636363636363636364
18577,3413,"ABG","2005-01-20","2005-01-25","HOLD",16.95,102.727272727272727272727272727
18577,3413,"ABG","2005-01-20","2005-01-26","HOLD",16.95,102.727272727272727272727272727
18577,3413,"ABG","2005-01-20","2005-01-27","HOLD",16.92,102.545454545454545454545454545
18577,3413,"ABG","2005-01-20","2005-01-28","HOLD",16.92,102.545454545454545454545454545
18577,3413,"ABG","2005-01-20","2005-01-31","HOLD",16.88,102.303030303030303030303030304
18577,3413,"ABG","2005-01-20","2005-02-01","HOLD",17.0,103.03030303030303030303030303
18577,3413,"ABG","2005-01-20","2005-02-02","SELL",16.95,102.727272727272727272727272727
13887,3271,"ABM","2003-12-22","2003-12-22","BUY",17.2,100.0
13887,3271,"ABM","2003-12-22","2003-12-23","HOLD",17.93,104.244186046511627906976744187
13887,3271,"ABM","2003-12-22","2003-12-24","HOLD",17.67,102.732558139534883720930232558
13887,3271,"ABM","2003-12-22","2003-12-26","HOLD",17.59,102.267441860465116279069767442
13887,3271,"ABM","2003-12-22","2003-12-29","HOLD",17.7,102.906976744186046511627906977
13887,3271,"ABM","2003-12-22","2003-12-30","HOLD",17.99,104.593023255813953488372093023
13887,3271,"ABM","2003-12-22","2003-12-31","HOLD",17.41,101.22093023255813953488372093
13887,3271,"ABM","2003-12-22","2004-01-02","HOLD",17.7,102.906976744186046511627906977
13887,3271,"ABM","2003-12-22","2004-01-05","HOLD",17.78,103.372093023255813953488372093
13887,3271,"ABM","2003-12-22","2004-01-06","SELL",17.7,102.906976744186046511627906977
9519,4938,"ABMD","2003-03-18","2003-03-18","BUY",4.09,100.0
9519,4938,"ABMD","2003-03-18","2003-03-19","SELL",3.9264,96.0
9366,3268,"ABT","2003-03-13","2003-03-13","BUY",36.0,100.0
9366,3268,"ABT","2003-03-13","2003-03-14","HOLD",35.19,97.75
9366,3268,"ABT","2003-03-13","2003-03-17","HOLD",36.55,101.527777777777777778
9366,3268,"ABT","2003-03-13","2003-03-18","HOLD",37.39,103.861111111111111111
9366,3268,"ABT","2003-03-13","2003-03-19","HOLD",38.12,105.888888888888888889
9366,3268,"ABT","2003-03-13","2003-03-20","HOLD",37.73,104.805555555555555556
9366,3268,"ABT","2003-03-13","2003-03-21","SELL",38.88,108.0
9367,3715,"ABV","2003-03-13","2003-03-13","BUY",14.7,100.0
9367,3715,"ABV","2003-03-13","2003-03-14","HOLD",15.68,106.666666666666666666666666667
9367,3715,"ABV","2003-03-13","2003-03-17","SELL",15.876,108.0
18931,3475,"ABX","2005-02-22","2005-02-22","BUY",24.69,100.0
18931,3475,"ABX","2005-02-22","2005-02-23","HOLD",24.89,100.810044552450384771162413933
18931,3475,"ABX","2005-02-22","2005-02-24","HOLD",24.78,100.36452004860267314702308627
18931,3475,"ABX","2005-02-22","2005-02-25","HOLD",24.9,100.850546780072904009720534629
18931,3475,"ABX","2005-02-22","2005-02-28","HOLD",24.9,100.850546780072904009720534629
18931,3475,"ABX","2005-02-22","2005-03-01","HOLD",24.35,98.622924260834345889023896314
18931,3475,"ABX","2005-02-22","2005-03-02","HOLD",25.0,101.255569056298096395301741596
18931,3475,"ABX","2005-02-22","2005-03-03","HOLD",24.83,100.567031186715269339813689753
18931,3475,"ABX","2005-02-22","2005-03-04","HOLD",25.41,102.916160388821385176184690158
18931,3475,"ABX","2005-02-22","2005-03-07","SELL",25.11,101.701093560145808019441069259
16140,4942,"ACAD","2004-06-08","2004-06-08","BUY",6.49,100.0
16140,4942,"ACAD","2004-06-08","2004-06-09","SELL",6.2304,96.0
9602,5095,"ACAT","2003-03-21","2003-03-21","BUY",16.11,100.0
9602,5095,"ACAT","2003-03-21","2003-03-24","HOLD",16.24,100.806952203600248292985723153
